strategy,pair,v_fam1,v_fam2,v_combined,interaction,super_additive
mean,msg_drop+latency,4.309148618488375e-08,0.000484192625439716,0.0002589932144086162,0.5348970653433918,False
mean,msg_drop+bandwidth,4.309148618488375e-08,1.8028888888971535,5.715167188250347e-20,3.1700052196485475e-20,False
mean,bandwidth+byzantine,1.8028888888971535,1.546018101909258,1.3916745238314014,0.7719136394937259,False
mean,latency+byzantine,0.000484192625439716,1.546018101909258,1.7075498257125412,1.1044824272133678,False
mean,jam+crash,5.701709313990202,0.00011043166150348698,6.199459290482458,1.087298378272448,False
median,msg_drop+latency,3.411300836991916e-06,0.02818216966123101,0.002511395445824415,0.08911292054561835,False
median,msg_drop+bandwidth,3.411300836991916e-06,2.304249191370395e-19,1.4717290864196884e-19,4.314275277220811e-14,False
median,bandwidth+byzantine,2.304249191370395e-19,0.18364661503843024,0.7177151635602088,3.9081317312057093,True
median,latency+byzantine,0.02818216966123101,0.18364661503843024,0.3629514653325594,1.9763580464393937,True
median,jam+crash,4.971416970479159,0.0002405608528075216,5.808442467389327,1.1683675905442092,False
trimmed,msg_drop+latency,1.0659189285336879e-07,0.0023508808113217993,0.0005008671454586509,0.21305509962329175,False
trimmed,msg_drop+bandwidth,1.0659189285336879e-07,6.063888888972549,2.54343552318406e-19,4.194396648344613e-20,False
trimmed,bandwidth+byzantine,6.063888888972549,0.5055503378512665,0.7551873259630117,0.1245384504548481,False
trimmed,latency+byzantine,0.0023508808113217993,0.5055503378512665,0.8000929200601603,1.5826177141148476,True
trimmed,jam+crash,5.3217901954853275,9.201817100209736e-05,6.017854509414583,1.1307951438070132,False
gnn,msg_drop+latency,1.0249360259594457e-05,0.012046901813475118,0.003910677418806323,0.32462100873371585,False
gnn,msg_drop+bandwidth,1.0249360259594457e-05,17.58464455173143,2.0626102132518542e-12,1.172960992861675e-13,False
gnn,bandwidth+byzantine,17.58464455173143,0.04925465885847234,16.943941327793304,0.9635646190030586,False
gnn,latency+byzantine,0.012046901813475118,0.04925465885847234,0.06700292651058865,1.3603368303313994,False
gnn,jam+crash,5.962114457787972,0.002513606024588062,6.010783133675162,1.0081629891931405,False
reco,msg_drop+latency,0.017507361382297647,0.044270205361440086,0.04493812073511336,1.015087243626275,False
reco,msg_drop+bandwidth,0.017507361382297647,0.24689549481826328,0.018332025758377044,0.07425014284635295,False
reco,bandwidth+byzantine,0.24689549481826328,0.07443401213438597,2.1479090519366317,8.69966887616836,True
reco,latency+byzantine,0.044270205361440086,0.07443401213438597,0.13672080006597964,1.8368054622547922,True
reco,jam+crash,5.002555717009738,0.1990981574371513,5.176199772972593,1.0347110688587493,False
