policy,family,value,metric_p50,metric_p25,metric_p75
maddpg,bandwidth,4.0,4.077157874756632e-07,2.4516298130465284e-08,0.014631298378719182
mappo,bandwidth,4.0,3.5975693441204066e-09,4.5447482839720976e-13,0.018046392801830652
mean,bandwidth,8.0,4.651173557320389e-05,2.8315580323632545e-07,7.076012668747909e-05
median,bandwidth,8.0,0.0005747656730797875,1.6501856073552094e-05,0.0028027368671618086
ippo,bandwidth,8.0,6.643212643751289e-05,1.357709612297194e-08,0.0003493621317205791
maddpg,bandwidth,8.0,0.00016787255395448917,4.8065775397658904e-05,0.0007684597394790242
mappo,bandwidth,8.0,6.445130227375531e-05,3.3937557750507815e-06,0.00027091022028801767
mean,bandwidth,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,bandwidth,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,bandwidth,0.0,4.341573577872468e-06,2.2984739697716705e-07,8.23944338346175e-05
maddpg,bandwidth,0.0,0.00011963059241605034,1.0310171035301701e-05,0.0005041204957038965
mappo,bandwidth,0.0,1.4198995853086513e-05,3.9962082142636657e-07,9.728343747997728e-05
mean,spoof,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,spoof,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,spoof,0.0,4.341573577872468e-06,2.2984739697716705e-07,8.23944338346175e-05
maddpg,spoof,0.0,0.00011963059241605034,1.0310171035301701e-05,0.0005041204957038965
mappo,spoof,0.0,1.4198995853086513e-05,3.9962082142636657e-07,9.728343747997728e-05
mean,spoof,0.1,0.003542140191999346,0.002193314335923316,0.009147010937826178
median,spoof,0.1,0.0004590049961595454,0.00024610815899108726,0.0007131322046923684
ippo,spoof,0.1,0.0011294371380393621,0.0006788350329460633,0.0023389188303930396
maddpg,spoof,0.1,0.001972353391091149,0.001326170243741014,0.0029932451761518074
mappo,spoof,0.1,0.0011184185076537011,0.0006166594173758399,0.002108700018442178
mean,spoof,0.3,0.015073091422549891,0.012761088602467021,0.022698486402306425
median,spoof,0.3,0.007509428390982019,0.003312833007020916,0.015341211712971264
ippo,spoof,0.3,0.0101392721462302,0.005537611850086506,0.01722254513149208
maddpg,spoof,0.3,0.011854732267817907,0.0058971161045540945,0.023122205789675908
mappo,spoof,0.3,0.010963515565125852,0.005671465492446237,0.0194087680229801
mean,spoof,0.5,0.029471556404405228,0.014950578610099652,0.049836869540079265
