policy,family,value,metric_p50,metric_p25,metric_p75
maddpg,bandwidth,4.0,5.684333734850892e-08,2.5848897119860068e-09,0.01953778399423516
mappo,bandwidth,4.0,2.095064286524177e-09,5.116344468134824e-12,0.017657092249214797
mean,bandwidth,8.0,4.651173557320389e-05,2.8315580323632545e-07,7.076012668747909e-05
median,bandwidth,8.0,0.0005747656730797875,1.6501856073552094e-05,0.0028027368671618086
ippo,bandwidth,8.0,7.355636144829069e-05,1.5097806086672725e-07,0.00024408169025253587
maddpg,bandwidth,8.0,8.669871191820144e-05,4.745131657388136e-06,0.0007122921060951074
mappo,bandwidth,8.0,0.00012473989899536598,4.87100989656349e-06,0.0004045207759864863
mean,bandwidth,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,bandwidth,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,bandwidth,0.0,1.886493895528178e-05,7.186986381543744e-07,8.496257563792383e-05
maddpg,bandwidth,0.0,8.923206869680213e-05,9.01415115580501e-06,0.0003175833331205542
mappo,bandwidth,0.0,1.9956350499956597e-05,9.301747192759237e-07,0.00023476145329248563
mean,spoof,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,spoof,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,spoof,0.0,1.886493895528178e-05,7.186986381543744e-07,8.496257563792383e-05
maddpg,spoof,0.0,8.923206869680213e-05,9.01415115580501e-06,0.0003175833331205542
mappo,spoof,0.0,1.9956350499956597e-05,9.301747192759237e-07,0.00023476145329248563
mean,spoof,0.1,0.003542140191999346,0.002193314335923316,0.009147010937826178
median,spoof,0.1,0.0004590049961595454,0.00024610815899108726,0.0007131322046923684
ippo,spoof,0.1,0.0010861495115400779,0.0007503383218316242,0.0024979120033595996
maddpg,spoof,0.1,0.002061380584642898,0.0011568645928098612,0.0031606967258627555
mappo,spoof,0.1,0.0010651519432281224,0.0006975580929391269,0.002040221685627972
mean,spoof,0.3,0.015073091422549891,0.012761088602467021,0.022698486402306425
median,spoof,0.3,0.007509428390982019,0.003312833007020916,0.015341211712971264
ippo,spoof,0.3,0.008422906924928978,0.005142645860342506,0.016011398898165653
maddpg,spoof,0.3,0.013234158534120789,0.007596000863075675,0.01952234770391681
mappo,spoof,0.3,0.009841297187124544,0.004824985111253449,0.01701170924298106
mean,spoof,0.5,0.029471556404405228,0.014950578610099652,0.049836869540079265
median,spoof,0.5,0.019438189691581002,0.013370898926801277,0.02655234862523257
ippo,spoof,0.5,0.013762873329773693,0.010869758230986197,0.025800658759259805
maddpg,spoof,0.5,0.023171912962596686,0.01702737392068296,0.04232872473372562
mappo,spoof,0.5,0.014995326457210047,0.010176269896503578,0.024842731039612022
mean,spoof,1.0,0.05814829465691469,0.0479034111814064,0.07786263367920754
median,spoof,1.0,0.07433099282965955,0.05668906861805807,0.10914451101473187
ippo,spoof,1.0,0.05031701109918421,0.03525461648680083,0.0633147286138479
maddpg,spoof,1.0,0.07143181821011749,0.048791856228043155,0.09712267606527596
mappo,spoof,1.0,0.057769441634509394,0.034657384883162966,0.07248991114816872
mean,byzantine,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,byzantine,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,byzantine,0.0,1.886493895528178e-05,7.186986381543744e-07,8.496257563792383e-05
maddpg,byzantine,0.0,8.923206869680213e-05,9.01415115580501e-06,0.0003175833331205542
mappo,byzantine,0.0,1.9956350499956597e-05,9.301747192759237e-07,0.00023476145329248563
mean,byzantine,0.1,0.009648700118925402,0.00554915155021923,0.04859722468241252
median,byzantine,0.1,0.0002160480877135482,3.5105644596832996e-06,0.012375055783397227
ippo,byzantine,0.1,0.00575008033140159,0.0018083884057224907,0.011087429218982876
maddpg,byzantine,0.1,0.008030220723509488,0.0028138421766293062,0.019251961950283447
mappo,byzantine,0.1,0.005165785157804298,0.0011800270768863863,0.01723726623050917
mean,byzantine,0.25,0.07029446677232198,0.05552515814036408,0.08127972737031744
median,byzantine,0.25,0.0021215721583847805,7.208087943107865e-05,0.03579051835591997
ippo,byzantine,0.25,0.021665082982909478,0.008327338930479029,0.04037199793407719
maddpg,byzantine,0.25,0.02694393725151958,0.013354645409189349,0.05060298610610725
mappo,byzantine,0.25,0.016184071487413708,0.007231832620482428,0.044908692468834374
mean,byzantine,0.5,0.09663425603695328,0.0762200206573577,0.22112188584426268
median,byzantine,0.5,0.08195177529453276,0.007464744648267671,0.14906157548685894
ippo,byzantine,0.5,0.04932960878136771,0.021812475163248347,0.1180383660809219
maddpg,byzantine,0.5,0.06970595786769021,0.03850036769779097,0.170840869874544
mappo,byzantine,0.5,0.058185545193075616,0.028261166729663334,0.12594207576969002
