benchmark,strategy,n_agents,steps,topology,return,final_disagreement,consensus_error,msgs_sent,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode,domain,demand,lambda_opt,final_lambda_disagreement,final_power_mismatch,final_cost_gap,final_dispatch_regret,phys_violation_frac,phys_infeasible,phys_max_loading,phys_pmin,phys_pmax
consensus,mean,20,60,ring_plus,-4.513610988183262e-08,4.513610988183262e-08,0.0007383389104454,5040.0,0.0,0.1027777777777777,0.0,0.0,5040.0,4522.0,0.8972222222222223,0.1027777777777777,144704.0,32.0,0.0,4522.0,0.0,0.0,518.0,0.0,0.0,0.0,mean,0.7416764636717462,0.993286698053061,1.0,2.899299602921743e-07,-0.1817867204125559,9.0,1.0,1.399646125476325,1.3458235410014037,cons__mean,cons__mean,msg_drop,0.1,0,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-2.935243875203763e-07,2.935243875203763e-07,0.0008076014255566,5400.0,0.0,0.1037037037037037,0.0,0.0,5400.0,4840.0,0.8962962962962963,0.1037037037037037,154880.0,32.0,0.0,4840.0,0.0,0.0,560.0,0.0,0.0,0.0,mean,0.7527233697114167,0.9983671539483284,1.0,1.961491200981427e-06,-0.2847032108121201,12.0,1.0,1.320493917398932,1.2572950674741608,cons__mean,cons__mean,msg_drop,0.1,1,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-1.3826633549018401e-09,1.3826633549018401e-09,0.0045396062831928,6120.0,0.0,0.1032679738562091,0.0,0.0,6120.0,5488.0,0.8967320261437909,0.1032679738562091,175616.0,32.0,0.0,5488.0,0.0,0.0,632.0,0.0,0.0,0.0,mean,0.6895625995479159,0.996907058175296,1.0,1.6324823474642686e-08,-0.3046854194596352,9.0,1.0,1.55469612182113,1.5299830364930147,cons__mean,cons__mean,msg_drop,0.1,2,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-1.1821040488624546e-08,1.1821040488624546e-08,0.0133136116948021,5040.0,0.0,0.0934523809523809,0.0,0.0,5040.0,4569.0,0.906547619047619,0.0934523809523809,146208.0,32.0,0.0,4569.0,0.0,0.0,471.0,0.0,0.0,0.0,mean,0.7087587618421656,0.9982193098684852,1.0,1.3401215085068118e-07,-0.4374433144838829,11.0,1.0,1.2627284000071304,1.2353733719202542,cons__mean,cons__mean,msg_drop,0.1,3,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-8.314095607859034e-08,8.314095607859034e-08,1.0625456309606336e-05,5640.0,0.0,0.1026595744680851,0.0,0.0,5640.0,5061.0,0.8973404255319148,0.1026595744680851,161952.0,32.0,0.0,5061.0,0.0,0.0,579.0,0.0,0.0,0.0,mean,0.7454101973637842,0.9940149137650328,1.0,5.160774760867209e-07,-0.2570986059238098,9.0,1.0,1.3711704029417888,1.3207138697044611,cons__mean,cons__mean,msg_drop,0.1,4,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-2.5031823764426197e-08,2.5031823764426197e-08,0.0008848641939454,6360.0,0.0,0.0982704402515723,0.0,0.0,6360.0,5735.0,0.9017295597484276,0.0982704402515722,183520.0,32.0,0.0,5735.0,0.0,0.0,625.0,0.0,0.0,0.0,mean,0.7214077426850946,0.9977236440820078,1.0,2.259467367482043e-07,-0.2545969138273158,11.0,1.0,1.6160985120576443,1.583621832579197,cons__mean,cons__mean,msg_drop,0.1,5,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-2.939101262123451e-07,2.939101262123451e-07,0.0001967675990916,4680.0,0.0,0.0965811965811965,0.0,0.0,4680.0,4228.0,0.9034188034188034,0.0965811965811965,135296.0,32.0,0.0,4228.0,0.0,0.0,452.0,0.0,0.0,0.0,mean,0.7597935471773395,0.9860865398704144,1.0,1.463344123021056e-06,-0.3500855575758261,9.0,1.0,0.9450014459069908,0.8957994866615863,cons__mean,cons__mean,msg_drop,0.1,6,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-1.8339908811046972e-11,1.8339908811046972e-11,0.0003178133793252,6480.0,0.0,0.1003086419753086,0.0,0.0,6480.0,5830.0,0.8996913580246914,0.1003086419753086,186560.0,32.0,0.0,5830.0,0.0,0.0,650.0,0.0,0.0,0.0,mean,0.6395741585834958,0.9947869929707857,1.0,2.641504415546674e-10,-0.3212184241885339,7.0,1.0,2.218617553571293,2.1395397467772024,cons__mean,cons__mean,msg_drop,0.1,7,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-5.098333354116395e-05,5.098333354116395e-05,0.0117650485392655,4200.0,0.0,0.108095238095238,0.0,0.0,4200.0,3746.0,0.8919047619047619,0.1080952380952381,119872.0,32.0,0.0,3746.0,0.0,0.0,454.0,0.0,0.0,0.0,mean,0.8344459246066827,0.9890163551291355,1.0,0.0001572054404604,-0.2253598481387355,14.0,1.0,0.7964836768628718,0.7332449500908755,cons__mean,cons__mean,msg_drop,0.1,8,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-1.751586276185804e-05,1.751586276185804e-05,9.890884461969108e-05,5280.0,0.0,0.1034090909090909,0.0,0.0,5280.0,4734.0,0.8965909090909091,0.1034090909090909,151488.0,32.0,0.0,4734.0,0.0,0.0,546.0,0.0,0.0,0.0,mean,0.8211384491059877,0.9851450157512172,1.0,5.399467739632542e-05,-0.2459001602353741,11.0,1.0,0.941329103508428,0.9246306127261072,cons__mean,cons__mean,msg_drop,0.1,9,0,,,,,,,,,,,,
