benchmark,strategy,n_agents,steps,topology,return,final_disagreement,consensus_error,msgs_sent,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode,hetero_level
consensus,mean,20,60,ring_plus,-0.004361807112422471,0.004361807112422471,0.02111030075049152,5020,0.0,0.200796812749004,0.0,0.0,5020.0,4012.0,0.799203187250996,0.20079681274900396,128384.0,32.0,0.0,4012.0,0.0,0.0,1008.0,0.0,0.0,0.0,mean,0.8628222432803696,0.8084414826983143,0.7166666666666667,0.005321371005574351,-0.18171402437961737,9.0,1.0,1.399646125476325,1.1813634087166536,cons__mean,cons__mean,hetero,0.25,0,0,0.25
consensus,mean,20,60,ring_plus,-0.0010359167587208026,0.0010359167587208026,0.0022727750286201643,5400,0.0,0.20629629629629628,0.0,0.0,5400.0,4286.0,0.7937037037037037,0.2062962962962963,137152.0,32.0,0.0,4286.0,0.0,0.0,1114.0,0.0,0.0,0.0,mean,0.8697546857896615,0.8007949650066537,0.7666666666666667,0.0016561838965590877,-0.28468595042488126,14.0,1.0,1.320493917398932,1.09635281455798,cons__mean,cons__mean,hetero,0.25,1,0,0.25
consensus,mean,20,60,ring_plus,-1.676826243301382e-09,1.676826243301382e-09,0.003034276473470553,6120,0.0,0.20915032679738563,0.0,0.0,6120.0,4840.0,0.7908496732026143,0.20915032679738566,154880.0,32.0,0.0,4840.0,0.0,0.0,1280.0,0.0,0.0,0.0,mean,0.693548196544376,0.9959792655237807,1.0,1.868573928157135e-08,-0.30468541945473243,8.0,1.0,1.55469612182113,1.3985108286561831,cons__mean,cons__mean,hetero,0.25,2,0,0.25
consensus,mean,20,60,ring_plus,-2.6422370722445093e-06,2.6422370722445093e-06,0.0018813981125245112,4972,0.0,0.19690265486725664,0.0,0.0,4972.0,3993.0,0.8030973451327433,0.19690265486725667,127776.0,32.0,0.0,3993.0,0.0,0.0,979.0,0.0,0.0,0.0,mean,0.7808304705260238,0.978371957353248,0.9833333333333333,9.004736048692845e-06,-0.4374432706436158,10.0,1.0,1.2627284000071304,1.118010038628084,cons__mean,cons__mean,hetero,0.25,3,0,0.25
consensus,mean,20,60,ring_plus,-0.00045737808194671806,0.00045737808194671806,6.793262107578984e-05,5633,0.0,0.20610687022900764,0.0,0.0,5633.0,4472.0,0.7938931297709924,0.20610687022900764,143104.0,32.0,0.0,4472.0,0.0,0.0,1161.0,0.0,0.0,0.0,mean,0.8727642128219303,0.752062053401751,0.8333333333333334,0.0005725717609276765,-0.25709098434146,9.0,1.0,1.3711704029417888,1.2152582407391423,cons__mean,cons__mean,hetero,0.25,4,0,0.25
consensus,mean,20,60,ring_plus,-0.0003916600430578653,0.0003916600430578653,0.0017644918750700511,6237,0.0,0.19801186467853135,0.0,0.0,6237.0,5002.0,0.8019881353214686,0.19801186467853138,160064.0,32.0,0.0,5002.0,0.0,0.0,1235.0,0.0,0.0,0.0,mean,0.8652748008275096,0.7247558963521192,0.6833333333333333,0.0008782785159703492,-0.25459038657712857,12.0,1.0,1.6160985120576443,1.3775865601994972,cons__mean,cons__mean,hetero,0.25,5,0,0.25
consensus,mean,20,60,ring_plus,-2.5928110975339147e-05,2.5928110975339147e-05,0.011414538425334323,4621,0.0,0.1902185674096516,0.0,0.0,4621.0,3742.0,0.8097814325903484,0.1902185674096516,119744.0,32.0,0.0,3742.0,0.0,0.0,879.0,0.0,0.0,0.0,mean,0.832644972170922,0.9188630550911506,0.9833333333333333,6.594643728013266e-05,-0.35008513033914535,8.0,1.0,0.9450014459069909,0.7779581464965974,cons__mean,cons__mean,hetero,0.25,6,0,0.25
consensus,mean,20,60,ring_plus,-0.00024081729106501193,0.00024081729106501193,0.0015989414368148536,6330,0.0,0.19541864139020537,0.0,0.0,6330.0,5093.0,0.8045813586097946,0.19541864139020537,162976.0,32.0,0.0,5093.0,0.0,0.0,1237.0,0.0,0.0,0.0,mean,0.8416224933626819,0.7109014293844608,0.7,0.0003047431986344032,-0.3212144105673218,7.0,1.0,2.218617553571293,1.8653244587755649,cons__mean,cons__mean,hetero,0.25,7,0,0.25
consensus,mean,20,60,ring_plus,-0.0021103965457152556,0.0021103965457152556,0.016975263347016153,4200,0.0,0.2130952380952381,0.0,0.0,4200.0,3305.0,0.7869047619047619,0.21309523809523812,105760.0,32.0,0.0,3305.0,0.0,0.0,895.0,0.0,0.0,0.0,mean,0.8810759629526127,0.9323753731182246,0.9666666666666667,0.002644044906281923,-0.22532552458519933,17.0,1.0,0.7964836768628718,0.6382172706834385,cons__mean,cons__mean,hetero,0.25,8,0,0.25
consensus,mean,20,60,ring_plus,-0.03253202148070825,0.03253202148070825,0.022674014446073643,5280,0.0,0.20397727272727273,0.0,0.0,5280.0,4203.0,0.7960227272727273,0.20397727272727273,134496.0,32.0,0.0,4203.0,0.0,0.0,1077.0,0.0,0.0,0.0,mean,0.9300626282857793,0.7317664418820593,0.8,0.030676204519667235,-0.2453582518084083,15.0,1.0,0.9413291035084279,0.8559194207578366,cons__mean,cons__mean,hetero,0.25,9,0,0.25
