strategy,n_agents,cond,seed,final_disagreement,lyap_rho,msgs_sent
mean,40,drop0.3,4,1.6279483183343357,0.9674069089372495,4800
mean,40,drop0.3,5,0.27519569147523837,0.9472792326972577,4800
mean,40,drop0.3,6,0.9360660125468218,0.9595574565629689,4800
mean,40,drop0.3,7,2.8024265079609414,0.9789228732258896,4800
mean,40,drop0.3,8,0.27354668535436855,0.9479220586730088,4800
mean,40,drop0.3,9,1.131813467367254,0.9697072795030711,4800
mean,80,drop0.3,0,5.115894600527543,0.9715878851687492,9600
mean,80,drop0.3,1,5.821052627506529,0.9705013298144582,9600
mean,80,drop0.3,2,5.972168736524461,0.9727948043021452,9600
mean,80,drop0.3,3,5.1750620330153305,0.9758432287330226,9600
mean,80,drop0.3,4,2.6089630662668077,0.963444908896055,9600
mean,80,drop0.3,5,3.5473870924206965,0.9685705482105709,9600
mean,80,drop0.3,6,8.079579380208386,0.981893526717963,9600
mean,80,drop0.3,7,3.757637271170002,0.9750700332542781,9600
mean,80,drop0.3,8,1.4127473969597437,0.9578646870316752,9600
mean,80,drop0.3,9,2.3258656369235,0.9668730106724944,9600
mean,160,drop0.3,0,7.545898299886076,0.9719801274283526,19200
mean,160,drop0.3,1,17.686428509669824,0.9782499411615606,19200
mean,160,drop0.3,2,9.83725621191827,0.9716059381910435,19200
mean,160,drop0.3,3,13.884708348771422,0.9779109325670461,19200
mean,160,drop0.3,4,13.757737080335502,0.977356018115002,19200
mean,160,drop0.3,5,6.2394281618529455,0.9681403014294161,19200
mean,160,drop0.3,6,11.442118291107443,0.9756679757863311,19200
mean,160,drop0.3,7,5.887129412159957,0.9684631347859503,19200
mean,160,drop0.3,8,5.67205302415903,0.9665155554743763,19200
mean,160,drop0.3,9,7.102748495885429,0.971667557448619,19200
oracle,10,drop0.3,0,1.9712186593239698e-14,0.5792923121120028,600
oracle,10,drop0.3,1,5.354358733893088e-14,0.55563096791442,600
oracle,10,drop0.3,2,4.966834639815704e-14,0.5857455542394213,600
oracle,10,drop0.3,3,1.513028095290056e-16,0.5236427118982478,600
oracle,10,drop0.3,4,3.818163361344335e-15,0.556715910606467,600
oracle,10,drop0.3,5,1.857845773913921e-14,0.5779532027160627,600
oracle,10,drop0.3,6,3.839706651413982e-15,0.5628468048274453,600
oracle,10,drop0.3,7,5.961161345437156e-15,0.5691690003613273,600
oracle,10,drop0.3,8,7.15007611452278e-14,0.5982086399460336,600
oracle,10,drop0.3,9,4.099520673629779e-15,0.5608195860203371,600
oracle,20,drop0.3,0,7.483593058178173e-15,0.5799122813077553,1200
oracle,20,drop0.3,1,6.765664849890579e-14,0.5642452331164358,1200
oracle,20,drop0.3,2,2.621737718801755e-12,0.6151952885412624,1200
oracle,20,drop0.3,3,5.0063445002232244e-14,0.5855385410521855,1200
oracle,20,drop0.3,4,4.276735492529679e-14,0.5734674516732378,1200
oracle,20,drop0.3,5,1.1786887472304173e-13,0.5835134486099104,1200
oracle,20,drop0.3,6,3.225309090175944e-14,0.5888363974878553,1200
oracle,20,drop0.3,7,2.324604012104454e-13,0.5827022255192575,1200
oracle,20,drop0.3,8,2.4457063280669116e-13,0.5899622160222603,1200
oracle,20,drop0.3,9,1.406882576417518e-13,0.5692349679363164,1200
oracle,40,drop0.3,0,3.045644873100377e-13,0.5870572781022464,2400
oracle,40,drop0.3,1,2.7334852257347006e-13,0.5741892264659605,2400
oracle,40,drop0.3,2,8.135950422988137e-13,0.5858020813942043,2400
oracle,40,drop0.3,3,3.288689588031254e-14,0.5611422285676453,2400
oracle,40,drop0.3,4,3.82661242570549e-13,0.5843728719752155,2400
oracle,40,drop0.3,5,1.6419939883958299e-13,0.576557131232039,2400
oracle,40,drop0.3,6,1.132287378893092e-12,0.6011079420206176,2400
oracle,40,drop0.3,7,4.158264214321058e-14,0.5743669919010324,2400
oracle,40,drop0.3,8,5.666238200049372e-13,0.582600781792255,2400
oracle,40,drop0.3,9,6.642467259568071e-14,0.5594429553489975,2400
oracle,80,drop0.3,0,4.544414898872951e-13,0.5704850670924085,4800
oracle,80,drop0.3,1,2.3907932446416583e-13,0.5701636352462981,4800
oracle,80,drop0.3,2,6.210220192946652e-13,0.5812627186063101,4800
oracle,80,drop0.3,3,1.1390079152396908e-13,0.558993323549335,4800
oracle,80,drop0.3,4,2.769877556885523e-12,0.5981230449498558,4800
oracle,80,drop0.3,5,2.3263297257849367e-13,0.5687576257132221,4800
oracle,80,drop0.3,6,7.192615002409454e-13,0.582005026442699,4800
oracle,80,drop0.3,7,1.2670070985851727e-13,0.5729101554942345,4800
oracle,80,drop0.3,8,2.202652580236337e-13,0.5761583803824417,4800
oracle,80,drop0.3,9,3.858627958318923e-13,0.5781105242530449,4800
oracle,160,drop0.3,0,1.7386007537371902e-12,0.5833456211158432,9600
oracle,160,drop0.3,1,8.941788483992364e-12,0.6017021398324441,9600
oracle,160,drop0.3,2,1.5577681357419674e-12,0.5795009982066879,9600
oracle,160,drop0.3,3,2.1628055291391724e-11,0.5905590991553358,9600
oracle,160,drop0.3,4,1.86545770914087e-12,0.5882764519894921,9600
oracle,160,drop0.3,5,5.433592833358689e-13,0.572172507144785,9600
oracle,160,drop0.3,6,1.2490674334808225e-12,0.5849615134948974,9600
oracle,160,drop0.3,7,6.429681127605962e-13,0.5779274598425246,9600
oracle,160,drop0.3,8,6.896032975520004e-13,0.5787545910951711,9600
oracle,160,drop0.3,9,9.358652673879648e-13,0.57872660823836,9600
hybrid,10,drop0.3,0,3.697326788480833e-05,0.8061820162392521,1200
hybrid,10,drop0.3,1,5.190668043387755e-06,0.7902061153060346,1200
hybrid,10,drop0.3,2,5.916514053057871e-06,0.8033407872662853,1200
hybrid,10,drop0.3,3,7.733449405800514e-06,0.8147371303767419,1200
hybrid,10,drop0.3,4,3.2209364354950696e-08,0.733048195566451,1200
hybrid,10,drop0.3,5,5.550145383257771e-06,0.7972387339371597,1200
hybrid,10,drop0.3,6,2.308933561486272e-06,0.8095006643859406,1200
hybrid,10,drop0.3,7,1.7814353561424565e-06,0.7884818822529343,1200
hybrid,10,drop0.3,8,4.147365759913201e-06,0.8058657050880836,1200
hybrid,10,drop0.3,9,7.067742465337266e-06,0.8021608658969432,1200
hybrid,20,drop0.3,0,3.39131094841226e-05,0.8189990214865023,2640
hybrid,20,drop0.3,1,6.029111633201961e-05,0.8230413735249843,2640
hybrid,20,drop0.3,2,4.9785273949370714e-05,0.8242781679840236,2640
hybrid,20,drop0.3,3,5.403573119600448e-05,0.8330144240760802,2640
hybrid,20,drop0.3,4,4.4024690313939573e-05,0.8192050830797016,2640
hybrid,20,drop0.3,5,2.7620487687414713e-05,0.8295699179245056,2640
hybrid,20,drop0.3,6,0.00014627762531918068,0.8323327662926581,2640
hybrid,20,drop0.3,7,0.0001070215012739524,0.8312144805774239,2640
hybrid,20,drop0.3,8,2.546721548543477e-05,0.8228495237991563,2640
hybrid,20,drop0.3,9,0.00010245440809641387,0.8157002758339096,2640
hybrid,40,drop0.3,0,0.00017029142002742944,0.8234111854033532,5880
hybrid,40,drop0.3,1,0.00019305697590358013,0.8276865354888905,5880
hybrid,40,drop0.3,2,0.00014153852621536742,0.8211275203803762,5880
hybrid,40,drop0.3,3,6.919370638341153e-05,0.820251545937588,5880
hybrid,40,drop0.3,4,6.586361808259502e-05,0.8227481507064544,5880
hybrid,40,drop0.3,5,0.00014843750298694923,0.8304223772806401,5880
hybrid,40,drop0.3,6,0.0003712615564702567,0.8333033162787735,5880
