benchmark,domain,n_agents,steps,topology,demand,lambda_opt,final_lambda_disagreement,final_disagreement,final_power_mismatch,final_cost_gap,final_dispatch_regret,return,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,strategy,task,task_name,family,value,seed,episode,phys_violation_frac,phys_infeasible,phys_max_loading,phys_pmin,phys_pmax
ed_abstract,abstract,6,70,ring_plus,5.4700953561938634,2.6155409706418986,9.318193018781498e-09,9.318193018781498e-09,0.005014819192202147,0.0,4.3124830598799055e-07,-0.0,0.0,0.007142857142857143,0.0,0.0,1260.0,1260.0,1.0,0.0,80640.0,64.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8002467368319848,0.8186344694255077,0.8857142857142857,2.3689775596733256e-08,-0.04017672651099918,4.0,1.0,1.2679491924311226,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,10,0,,,,,
ed_abstract,abstract,6,70,ring_plus,6.8973009723535945,2.1471324641013982,2.3988895057437717e-11,2.3988895057437717e-11,0.00017797767973348755,0.0,2.996074031327014e-10,-0.0,0.0,0.006349206349206349,0.0,0.0,1260.0,1260.0,1.0,0.0,80640.0,64.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6961490630578672,0.9615077718268772,1.0,9.408261617768593e-11,-0.02954830245479353,7.0,1.0,1.4384471871911708,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,11,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.195577562111571,3.10687124840827,2.4043571597740274e-09,2.4043571597740274e-09,0.004774524210287012,0.0,3.483388110194466e-07,-0.0,0.0,0.005952380952380952,0.0,0.0,1260.0,1260.0,1.0,0.0,80640.0,64.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7908832444790402,0.7441300775739765,0.9,4.95335453374177e-09,-0.07503564705624528,5.0,1.0,1.7856802566224643,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,12,0,,,,,
ed_abstract,abstract,6,70,ring_plus,8.03471426997243,2.6676182957664896,1.3971660982596981e-11,1.3971660982596981e-11,0.0006490792810946999,0.00011687905797737673,3.5190920419698137e-09,-0.00011687905797737673,0.0,0.007142857142857143,0.0,0.0,1260.0,1260.0,1.0,0.0,80640.0,64.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7750835102691082,0.8729538871793451,1.0,5.244209839945633e-11,-0.02152119390441412,3.0,1.0,1.697224362268006,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,13,0,,,,,
ed_abstract,abstract,6,70,ring_plus,8.1142325680871,3.0330532741315004,4.924386456320153e-10,4.924386456320153e-10,0.0008660432680098751,0.00016162016301796836,8.169665157440276e-09,-0.00016162016301796836,0.0,0.005555555555555556,0.0,0.0,1260.0,1260.0,1.0,0.0,80640.0,64.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7343328655495496,0.9403314394143365,1.0,1.2211463480199428e-09,-0.06673635606988947,7.0,1.0,1.4384471871911688,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,14,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.309379337037815,2.743326953639417,9.759404627670708e-11,9.759404627670708e-11,0.0003208505395155825,0.0,1.1113671510467625e-09,-0.0,0.0,0.007142857142857143,0.0,0.0,1260.0,1260.0,1.0,0.0,80640.0,64.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7334680653766427,0.9958809067980222,1.0,7.470194725380187e-10,-0.018970825545642053,8.0,1.0,1.3819660112501067,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,15,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.321170054906997,2.2943083206960546,1.4568619301901785e-12,1.4568619301901785e-12,2.86750214462117e-05,5.190729560708598e-06,4.6047299940658635e-12,-5.190729560708598e-06,0.0,0.005844155844155844,0.0,0.0,1540.0,1540.0,1.0,0.0,98560.0,64.0,0.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7352030546877931,0.9481771714870921,0.9857142857142858,1.550757473757476e-11,-0.021768551995557533,3.0,1.0,1.8299135133739668,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,16,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.59580674339883,2.600082024355599,1.034504843472087e-09,1.034504843472087e-09,0.004138095190572066,0.0008278155035708784,2.107563624473604e-07,-0.0008278155035708784,0.0,0.00625,0.0,0.0,1120.0,1120.0,1.0,0.0,71680.0,64.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7636590499125074,0.986660813722314,1.0,4.017042514713878e-09,-0.01987980256013896,6.0,1.0,1.108780151289706,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,17,0,,,,,
ed_abstract,abstract,6,70,ring_plus,6.186523363160682,2.6401221712237133,6.13782944209951e-09,6.13782944209951e-09,0.020395191656285228,0.004764031953357951,6.075105954052206e-06,-0.004764031953357951,0.0,0.007142857142857143,0.0,0.0,1540.0,1540.0,1.0,0.0,98560.0,64.0,0.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8599900695577003,0.6671756517397114,0.9857142857142858,1.5620870780196747e-08,-0.04566891246125505,3.0,1.0,2.381966011250105,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,18,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.7945481770531035,3.971400975185647,2.7348924189601926e-12,2.7348924189601926e-12,0.0008616122768261292,0.00016189855750480507,5.647665724683945e-09,-0.00016189855750480507,0.0,0.007142857142857143,0.0,0.0,1260.0,1260.0,1.0,0.0,80640.0,64.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7152548125476681,0.941835219741957,1.0,7.421629166917012e-12,-0.006442852355130769,4.0,1.0,1.6072437528048933,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.0,19,0,,,,,
ed_abstract,abstract,6,70,ring_plus,6.3310658609541255,2.450748189077893,6.100508522488735e-11,6.100508522488735e-11,0.04231045044197401,0.0,1.371438789859701e-05,-0.0,0.0,0.11785714285714285,0.0,0.0,1260.0,1119.0,0.888095238095238,0.11190476190476195,71616.0,64.0,0.0,1119.0,0.0,0.0,141.0,0.0,0.0,0.0,mean,0.6910466335606131,0.9748549712816118,1.0,1.4013779948572376e-10,-0.029071049736771677,9.0,1.0,1.4384471871911708,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,0,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.721040544577423,2.884027576728635,8.006330745035923e-09,8.006330745035923e-09,0.3720337743963711,0.0,0.0008987715211272115,-0.0,0.0,0.09821428571428571,0.0,0.0,1400.0,1270.0,0.9071428571428571,0.09285714285714286,81280.0,64.0,0.0,1270.0,0.0,0.0,130.0,0.0,0.0,0.0,mean,0.7621422049272848,0.9286641475279634,0.9,1.980636527774102e-08,-0.028303830496759698,10.0,1.0,1.5188056959079848,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,1,0,,,,,
ed_abstract,abstract,6,70,ring_plus,6.92899319952554,2.990931168233569,3.497305697616653e-11,3.497305697616653e-11,0.01984055473893065,0.0,3.6204767544215806e-06,-0.0,0.0,0.09892857142857144,0.0,0.0,1400.0,1270.0,0.9071428571428571,0.09285714285714286,81280.0,64.0,0.0,1270.0,0.0,0.0,130.0,0.0,0.0,0.0,mean,0.7457611489741276,0.8369316674056564,1.0,1.2126664365744457e-10,-0.056030900636426365,4.0,1.0,2.3819660112501047,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,2,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.0014035349279045,2.639249425068705,3.954844810150675e-11,3.954844810150675e-11,0.18570231916321234,0.03987722154131194,0.0003357487329911303,-0.03987722154131194,0.0,0.09444444444444444,0.0,0.0,1260.0,1150.0,0.9126984126984127,0.08730158730158732,73600.0,64.0,0.0,1150.0,0.0,0.0,110.0,0.0,0.0,0.0,mean,0.7527066384564162,0.8642882880661918,0.9857142857142858,1.3565506437378826e-10,-0.05043193717199432,4.0,1.0,2.0000000000000004,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,3,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.7755887560065755,2.8912952616059213,4.235351493718037e-11,4.235351493718037e-11,0.08447230789002447,0.01569106333649893,4.8920646163500716e-05,-0.01569106333649893,0.0,0.11142857142857143,0.0,0.0,1400.0,1252.0,0.8942857142857142,0.10571428571428576,80128.0,64.0,0.0,1252.0,0.0,0.0,148.0,0.0,0.0,0.0,mean,0.7456602143567014,0.872381742910369,0.9142857142857143,3.11185990980415e-10,-0.03663607678497178,6.0,1.0,1.6972243622680052,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,4,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.345383066371439,3.3795090282240876,8.960913154088427e-12,8.960913154088427e-12,0.16820765995058018,0.03353384719106994,0.00023341874052703696,-0.03353384719106994,0.0,0.10422077922077921,0.0,0.0,1540.0,1389.0,0.9019480519480519,0.09805194805194806,88896.0,64.0,0.0,1389.0,0.0,0.0,151.0,0.0,0.0,0.0,mean,0.7073168890169388,0.9325607916441698,0.9857142857142858,1.2064469017378882e-11,-0.01706700508868298,4.0,1.0,1.8299135133739668,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,5,0,,,,,
