attack,strategy,final_disagreement,error_from_truth
gauss,median,0.20505386143122475,0.03502216494143119
gauss,gnn,0.03538553817239952,0.00480971804695649
bias,median,63.11363779892548,7.9810538426008195
bias,gnn,0.04259899524281156,0.1736099872851111
signflip,median,0.15139956936970156,0.028166096327834258
signflip,gnn,0.260799452635943,0.04969578254426249
