benchmark,n_agents,steps,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,10,60,-0.0002519900004728194,0.0002519900004728194,0.0,0.30333333333333334,0.0,0.0,1200.0,836.0,0.6966666666666667,0.30333333333333334,26752.0,32.0,0.0,836.0,0.0,0.0,364.0,0.0,0.0,0.0,0.8667469744113977,0.9720778796661905,0.9333333333333333,0.0006422515624632053,-0.22755510928416392,13.0,1.0,0.3819660112501043,0.17773723927189827
consensus,10,60,-0.0015167132449280178,0.0015167132449280178,0.0,0.29583333333333334,0.0,0.0,1200.0,845.0,0.7041666666666667,0.2958333333333333,27040.0,32.0,0.0,845.0,0.0,0.0,355.0,0.0,0.0,0.0,0.8698992194628642,0.9924516725950705,0.9666666666666667,0.003370554509623537,-0.2777807175125588,25.0,1.0,0.3819660112501043,0.2048330894787334
consensus,10,60,-0.0005115516929401636,0.0005115516929401636,0.0,0.30916666666666665,0.0,0.0,1200.0,829.0,0.6908333333333333,0.3091666666666667,26528.0,32.0,0.0,829.0,0.0,0.0,371.0,0.0,0.0,0.0,0.872866808159373,0.9844802368931558,0.95,0.001164241507338992,-0.13020326451456365,23.0,1.0,0.3819660112501043,0.20777659311276767
consensus,10,60,-0.00010868733384542183,0.00010868733384542183,0.0,0.28583333333333333,0.0,0.0,1200.0,857.0,0.7141666666666666,0.2858333333333334,27424.0,32.0,0.0,857.0,0.0,0.0,343.0,0.0,0.0,0.0,0.857016782541852,0.980436748308731,0.9833333333333333,0.0002507320909632413,-0.07496951785764834,17.0,1.0,0.3819660112501043,0.2221402429445994
consensus,10,60,-0.0002639500888103216,0.0002639500888103216,0.0,0.3075,0.0,0.0,1200.0,831.0,0.6925,0.3075,26592.0,32.0,0.0,831.0,0.0,0.0,369.0,0.0,0.0,0.0,0.8805455312675001,0.9627506343241471,0.95,0.0005818772485929174,-0.1191862729371924,14.0,1.0,0.3819660112501043,0.1726831932616025
consensus,10,60,-0.0010046429877310112,0.0010046429877310112,0.0,0.3025,0.0,0.0,1200.0,837.0,0.6975,0.3025,26784.0,32.0,0.0,837.0,0.0,0.0,363.0,0.0,0.0,0.0,0.8866704829902075,0.9957711849315638,0.95,0.0025657316150052493,-0.05118699497052599,35.0,1.0,0.3819660112501043,0.1601106905264101
consensus,10,60,-0.00024283364119400297,0.00024283364119400297,0.0,0.2975,0.0,0.0,1200.0,843.0,0.7025,0.2975,26976.0,32.0,0.0,843.0,0.0,0.0,357.0,0.0,0.0,0.0,0.8811673073971387,0.9595698652870993,0.9333333333333333,0.000454075043405388,-0.05141238994642263,16.0,1.0,0.3819660112501043,0.19210088910373002
consensus,10,60,-0.000303571864391839,0.000303571864391839,0.0,0.2941666666666667,0.0,0.0,1200.0,847.0,0.7058333333333333,0.2941666666666667,27104.0,32.0,0.0,847.0,0.0,0.0,353.0,0.0,0.0,0.0,0.8680368533834358,0.9931908575993803,0.9666666666666667,0.0005791326630526347,-0.06692962653297878,26.0,1.0,0.3819660112501043,0.17300258854122472
consensus,10,60,-0.0019545043631565753,0.0019545043631565753,0.0,0.3258333333333333,0.0,0.0,1200.0,809.0,0.6741666666666667,0.3258333333333333,25888.0,32.0,0.0,809.0,0.0,0.0,391.0,0.0,0.0,0.0,0.8835448352282795,0.9935614357281204,0.9833333333333333,0.004786439753929401,-0.10378538092627729,30.0,1.0,0.3819660112501043,0.1426438394207331
consensus,10,60,-0.0007626048707475509,0.0007626048707475509,0.0,0.30916666666666665,0.0,0.0,1200.0,829.0,0.6908333333333333,0.3091666666666667,26528.0,32.0,0.0,829.0,0.0,0.0,371.0,0.0,0.0,0.0,0.8780530982772133,0.9786752044587893,0.9833333333333333,0.0017639684869969823,-0.17559889654307134,19.0,1.0,0.3819660112501043,0.16500503889689483
