benchmark,n_agents,steps,return,final_disagreement,consensus_error,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,20,60,-1.44849267107655e-08,1.44849267107655e-08,0.019471394709923977,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7101630463123513,0.9985650726029233,1.0,1.5671518029164446e-07,-0.43744331443948486,11.0,1.0,1.2627284000071304,1.2627284000071306
consensus,20,60,-9.276754692133524e-08,9.276754692133524e-08,3.289845831358147e-05,0.0,0.0,0.0,0.0,5640.0,5640.0,1.0,0.0,180480.0,32.0,0.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7473228203439312,0.9943839413436558,1.0,5.841762267377446e-07,-0.2570986057633667,9.0,1.0,1.3711704029417888,1.3711704029417888
consensus,20,60,-2.3477787254070522e-08,2.3477787254070522e-08,0.0037162859002191975,0.0,0.0,0.0,0.0,6360.0,6360.0,1.0,0.0,203520.0,32.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7191687973344563,0.9968099910770064,1.0,1.8721703839698926e-07,-0.25459691385321637,11.0,1.0,1.6160985120576443,1.616098512057644
consensus,20,60,-5.570206765237664e-07,5.570206765237664e-07,5.444381155767587e-05,0.0,0.0,0.0,0.0,4680.0,4680.0,1.0,0.0,149760.0,32.0,0.0,4680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7682219554941994,0.9874776436152543,1.0,2.6186758839223734e-06,-0.35008555319065043,9.0,1.0,0.9450014459069909,0.9450014459069908
consensus,20,60,-1.7240977534037544e-11,1.7240977534037544e-11,0.0002635716035891913,0.0,0.0,0.0,0.0,6480.0,6480.0,1.0,0.0,207360.0,32.0,0.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6407059489560791,0.9952688870731727,1.0,2.826947437737647e-10,-0.32121842418855234,7.0,1.0,2.218617553571293,2.218617553571293
consensus,20,60,-4.581667026258216e-05,4.581667026258216e-05,0.010348279756478822,0.0,0.0,0.0,0.0,4200.0,4200.0,1.0,0.0,134400.0,32.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8317451493013875,0.9913815833731552,1.0,0.0001402144553736957,-0.2253599342497902,15.0,1.0,0.7964836768628718,0.7964836768628717
consensus,20,60,-1.842855635986362e-05,1.842855635986362e-05,7.788988655482558e-06,0.0,0.0,0.0,0.0,5280.0,5280.0,1.0,0.0,168960.0,32.0,0.0,5280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8215139615751635,0.9869105412873541,1.0,5.994455747389067e-05,-0.2459001450238141,12.0,1.0,0.9413291035084279,0.9413291035084281
consensus,40,60,-5.585368422139051e-10,5.585368422139051e-10,0.00287022164667797,0.0,0.0,0.0,0.0,17760.0,17760.0,1.0,0.0,568320.0,32.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6824975441860778,0.9956579913869922,1.0,7.572876954381876e-09,-0.384097781343372,7.0,1.0,2.4252258299166085,2.425225829916608
consensus,40,60,-1.0545183333574918e-09,1.0545183333574918e-09,0.0037175489523609525,0.0,0.0,0.0,0.0,17040.0,17040.0,1.0,0.0,545280.0,32.0,0.0,17040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6821582284324721,0.9910040954925351,1.0,1.0452659280569172e-08,-0.5897633280025405,7.0,1.0,1.8704149342977936,1.8704149342977938
consensus,40,60,-1.7769322759842605e-11,1.7769322759842605e-11,0.0005791857676298733,0.0,0.0,0.0,0.0,20160.0,20160.0,1.0,0.0,645120.0,32.0,0.0,20160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6378720858426882,0.9935929313972569,1.0,4.011269345353761e-10,-0.8055662339115043,7.0,1.0,2.919129404845244,2.9191294048452443
consensus,40,60,-2.796889241336493e-09,2.796889241336493e-09,2.980888252130375e-06,0.0,0.0,0.0,0.0,17400.0,17400.0,1.0,0.0,556800.0,32.0,0.0,17400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6911481439588204,0.997163824259472,1.0,3.6532034105711244e-08,-0.6737596050952959,9.0,1.0,2.5313155292563594,2.5313155292563585
consensus,40,60,-2.6817755750062184e-09,2.6817755750062184e-09,0.004550667256848625,0.0,0.0,0.0,0.0,19080.0,19080.0,1.0,0.0,610560.0,32.0,0.0,19080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6887303839467759,0.9961565049098595,1.0,3.359820672964058e-08,-0.7449906996042269,9.0,1.0,2.8450314110379797,2.8450314110379797
consensus,40,60,-1.1953931568435043e-08,1.1953931568435043e-08,0.0005349716288790107,0.0,0.0,0.0,0.0,18720.0,18720.0,1.0,0.0,599040.0,32.0,0.0,18720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7146456338784168,0.9896181835288895,1.0,9.791355301186638e-08,-0.5999178424973787,8.0,1.0,2.563412626110077,2.563412626110077
consensus,40,60,-8.704617674163633e-10,8.704617674163633e-10,0.0001198516711828431,0.0,0.0,0.0,0.0,17040.0,17040.0,1.0,0.0,545280.0,32.0,0.0,17040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6837307147483962,0.9964114375514181,1.0,1.165871798115056e-08,-0.41284282675467915,8.0,1.0,2.2353075819543733,2.2353075819543733
