benchmark,n_agents,steps,topology,n_edges,k_colors,return,final_conflicts,final_conflict_frac,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,task,task_name,family,value,seed,episode
dcop_minsum,24,40,ring_plus,46,4,-2.0,2.0,0.043478260869565216,2.0,0.0,0.10407608695652174,0.0,0.0,3680.0,3297.0,0.8959239130434783,0.10407608695652171,422016.0,128.0,0.0,3297.0,0.0,0.0,383.0,0.0,0.0,0.0,minsum,0.7803628884289614,0.5125731021376234,0.625,2.75,-0.25,,0.0,0.5767138582645176,dcop_minsum,dcop_minsum,msg_drop,0.1,2,0
dcop_minsum,24,40,ring_plus,41,4,-2.0,2.0,0.04878048780487805,2.0,0.0,0.09207317073170732,0.0,0.0,3280.0,2978.0,0.9079268292682927,0.09207317073170729,381184.0,128.0,0.0,2978.0,0.0,0.0,302.0,0.0,0.0,0.0,minsum,0.2631611776829826,0.2647017621480018,0.675,0.5,-0.225,10.0,1.0,0.7280978425891074,dcop_minsum,dcop_minsum,msg_drop,0.1,3,0
dcop_minsum,24,40,ring_plus,45,4,-5.0,5.0,0.1111111111111111,5.0,0.0,0.10166666666666667,0.0,0.0,3600.0,3234.0,0.8983333333333333,0.10166666666666668,413952.0,128.0,0.0,3234.0,0.0,0.0,366.0,0.0,0.0,0.0,minsum,0.5262102128411952,0.21226162795617787,0.625,4.625,-0.225,16.0,1.0,0.5276394113913421,dcop_minsum,dcop_minsum,msg_drop,0.1,4,0
dcop_minsum,24,40,ring_plus,46,4,-11.0,11.0,0.2391304347826087,11.0,0.0,0.09809782608695652,0.0,0.0,3680.0,3319.0,0.9019021739130435,0.0980978260869565,424832.0,128.0,0.0,3319.0,0.0,0.0,361.0,0.0,0.0,0.0,minsum,1.0,0.0,0.575,13.0,0.05,,0.0,0.6625865705641144,dcop_minsum,dcop_minsum,msg_drop,0.1,5,0
dcop_minsum,24,40,ring_plus,36,4,-2.0,2.0,0.05555555555555555,2.0,0.0,0.09583333333333334,0.0,0.0,2880.0,2604.0,0.9041666666666667,0.09583333333333333,333312.0,128.0,0.0,2604.0,0.0,0.0,276.0,0.0,0.0,0.0,minsum,0.0023751781813625746,0.5336747672011105,0.65,1.375,-0.2,4.0,1.0,0.37292756063084187,dcop_minsum,dcop_minsum,msg_drop,0.1,6,0
dcop_minsum,24,40,ring_plus,46,4,-5.0,5.0,0.10869565217391304,5.0,0.0,0.10217391304347827,0.0,0.0,3680.0,3304.0,0.8978260869565218,0.10217391304347823,422912.0,128.0,0.0,3304.0,0.0,0.0,376.0,0.0,0.0,0.0,minsum,0.8738466562571627,0.48047066552070283,0.65,2.625,-0.225,,0.0,0.3541200301325499,dcop_minsum,dcop_minsum,msg_drop,0.1,7,0
dcop_minsum,24,40,ring_plus,41,4,-8.0,8.0,0.1951219512195122,8.0,0.0,0.10548780487804878,0.0,0.0,3280.0,2934.0,0.8945121951219512,0.10548780487804876,375552.0,128.0,0.0,2934.0,0.0,0.0,346.0,0.0,0.0,0.0,minsum,0.9845202819378501,0.023855876155282063,0.6,6.125,0.1,,0.0,0.6798047431008131,dcop_minsum,dcop_minsum,msg_drop,0.1,8,0
dcop_minsum,24,40,ring_plus,50,4,-0.0,0.0,0.0,0.0,0.0,0.10175,0.0,0.0,4000.0,3593.0,0.89825,0.10175000000000001,459904.0,128.0,0.0,3593.0,0.0,0.0,407.0,0.0,0.0,0.0,minsum,0.07924483267925111,0.36646623152848323,0.625,2.375,-0.275,7.0,1.0,0.9519929129079138,dcop_minsum,dcop_minsum,msg_drop,0.1,9,0
dcop_minsum,24,40,ring_plus,36,4,-4.0,4.0,0.1111111111111111,4.0,0.0,0.29270833333333335,0.0,0.0,2880.0,2037.0,0.7072916666666667,0.29270833333333335,260736.0,128.0,0.0,2037.0,0.0,0.0,843.0,0.0,0.0,0.0,minsum,0.0023834789982192495,0.5460928090821995,0.6,3.375,-0.225,4.0,1.0,0.5162054954881106,dcop_minsum,dcop_minsum,msg_drop,0.3,0,0
dcop_minsum,24,40,ring_plus,51,4,-5.0,5.0,0.09803921568627451,5.0,0.0,0.30049019607843136,0.0,0.0,4080.0,2854.0,0.6995098039215686,0.3004901960784314,365312.0,128.0,0.0,2854.0,0.0,0.0,1226.0,0.0,0.0,0.0,minsum,0.770844225068853,0.8399431895146607,0.6,7.0,-0.1,,0.0,0.6661370859762062,dcop_minsum,dcop_minsum,msg_drop,0.3,1,0
dcop_minsum,24,40,ring_plus,46,4,-6.0,6.0,0.13043478260869565,6.0,0.0,0.3089673913043478,0.0,0.0,3680.0,2543.0,0.6910326086956522,0.3089673913043478,325504.0,128.0,0.0,2543.0,0.0,0.0,1137.0,0.0,0.0,0.0,minsum,0.9907170256356198,0.08436600140899453,0.625,5.0,-0.15,,0.0,0.5767138582645176,dcop_minsum,dcop_minsum,msg_drop,0.3,2,0
dcop_minsum,24,40,ring_plus,41,4,-3.0,3.0,0.07317073170731707,3.0,0.0,0.28597560975609754,0.0,0.0,3280.0,2342.0,0.7140243902439024,0.2859756097560976,299776.0,128.0,0.0,2342.0,0.0,0.0,938.0,0.0,0.0,0.0,minsum,0.9626091955766386,0.15937483224877524,0.575,2.625,-0.2,,0.0,0.7280978425891074,dcop_minsum,dcop_minsum,msg_drop,0.3,3,0
dcop_minsum,24,40,ring_plus,45,4,-6.0,6.0,0.13333333333333333,6.0,0.0,0.3,0.0,0.0,3600.0,2520.0,0.7,0.30000000000000004,322560.0,128.0,0.0,2520.0,0.0,0.0,1080.0,0.0,0.0,0.0,minsum,0.3779644730092273,0.8413480588553365,0.65,6.125,-0.2,,0.0,0.5276394113913421,dcop_minsum,dcop_minsum,msg_drop,0.3,4,0
dcop_minsum,24,40,ring_plus,46,4,-11.0,11.0,0.2391304347826087,11.0,0.0,0.29836956521739133,0.0,0.0,3680.0,2582.0,0.7016304347826087,0.29836956521739133,330496.0,128.0,0.0,2582.0,0.0,0.0,1098.0,0.0,0.0,0.0,minsum,0.96481769871217,0.1815001568024316,0.55,10.25,0.05,,0.0,0.6625865705641144,dcop_minsum,dcop_minsum,msg_drop,0.3,5,0
dcop_minsum,24,40,ring_plus,36,4,-7.0,7.0,0.19444444444444445,7.0,0.0,0.29756944444444444,0.0,0.0,2880.0,2023.0,0.7024305555555556,0.29756944444444444,258944.0,128.0,0.0,2023.0,0.0,0.0,857.0,0.0,0.0,0.0,minsum,0.6853338677529307,0.8564731886931839,0.55,4.625,-0.075,,0.0,0.37292756063084187,dcop_minsum,dcop_minsum,msg_drop,0.3,6,0
dcop_minsum,24,40,ring_plus,46,4,-5.0,5.0,0.10869565217391304,5.0,0.0,0.296195652173913,0.0,0.0,3680.0,2590.0,0.7038043478260869,0.2961956521739131,331520.0,128.0,0.0,2590.0,0.0,0.0,1090.0,0.0,0.0,0.0,minsum,0.9222945129530855,0.405072359630113,0.65,5.75,-0.225,,0.0,0.3541200301325499,dcop_minsum,dcop_minsum,msg_drop,0.3,7,0
dcop_minsum,24,40,ring_plus,41,4,-7.0,7.0,0.17073170731707318,7.0,0.0,0.3152439024390244,0.0,0.0,3280.0,2246.0,0.6847560975609757,0.31524390243902434,287488.0,128.0,0.0,2246.0,0.0,0.0,1034.0,0.0,0.0,0.0,minsum,0.7071067811865476,0.5261068998680045,0.6,6.0,0.075,,0.0,0.6798047431008131,dcop_minsum,dcop_minsum,msg_drop,0.3,8,0
dcop_minsum,24,40,ring_plus,50,4,-1.0,1.0,0.02,1.0,0.0,0.295,0.0,0.0,4000.0,2820.0,0.705,0.29500000000000004,360960.0,128.0,0.0,2820.0,0.0,0.0,1180.0,0.0,0.0,0.0,minsum,0.9266154834393174,0.16118409647668608,0.65,4.25,-0.25,,0.0,0.9519929129079138,dcop_minsum,dcop_minsum,msg_drop,0.3,9,0
dcop_minsum,24,40,ring_plus,36,4,-5.0,5.0,0.1388888888888889,5.0,0.0,0.490625,0.0,0.0,2880.0,1467.0,0.509375,0.490625,187776.0,128.0,0.0,1467.0,0.0,0.0,1413.0,0.0,0.0,0.0,minsum,0.5661187312306288,0.8972262115497944,0.675,3.75,-0.2,,0.0,0.5162054954881106,dcop_minsum,dcop_minsum,msg_drop,0.5,0,0
dcop_minsum,24,40,ring_plus,51,4,-4.0,4.0,0.0784313725490196,4.0,0.0,0.5066176470588235,0.0,0.0,4080.0,2013.0,0.4933823529411765,0.5066176470588235,257664.0,128.0,0.0,2013.0,0.0,0.0,2067.0,0.0,0.0,0.0,minsum,0.7746143765343448,0.7238347495278254,0.6,8.5,-0.125,,0.0,0.6661370859762062,dcop_minsum,dcop_minsum,msg_drop,0.5,1,0
dcop_minsum,24,40,ring_plus,46,4,-7.0,7.0,0.15217391304347827,7.0,0.0,0.5051630434782609,0.0,0.0,3680.0,1821.0,0.49483695652173915,0.5051630434782608,233088.0,128.0,0.0,1821.0,0.0,0.0,1859.0,0.0,0.0,0.0,minsum,0.9870416831219123,0.10996922197615244,0.6,7.875,-0.125,,0.0,0.5767138582645176,dcop_minsum,dcop_minsum,msg_drop,0.5,2,0
dcop_minsum,24,40,ring_plus,41,4,-5.0,5.0,0.12195121951219512,5.0,0.0,0.4899390243902439,0.0,0.0,3280.0,1673.0,0.510060975609756,0.48993902439024395,214144.0,128.0,0.0,1673.0,0.0,0.0,1607.0,0.0,0.0,0.0,minsum,0.7835703887834711,0.8475041671754389,0.6,5.5,-0.15,,0.0,0.7280978425891074,dcop_minsum,dcop_minsum,msg_drop,0.5,3,0
dcop_minsum,24,40,ring_plus,45,4,-11.0,11.0,0.24444444444444444,11.0,0.0,0.4888888888888889,0.0,0.0,3600.0,1840.0,0.5111111111111111,0.48888888888888893,235520.0,128.0,0.0,1840.0,0.0,0.0,1760.0,0.0,0.0,0.0,minsum,0.9342741510724453,0.3408837298659467,0.625,8.75,-0.075,,0.0,0.5276394113913421,dcop_minsum,dcop_minsum,msg_drop,0.5,4,0
dcop_minsum,24,40,ring_plus,46,4,-9.0,9.0,0.1956521739130435,9.0,0.0,0.4945652173913043,0.0,0.0,3680.0,1860.0,0.5054347826086957,0.4945652173913043,238080.0,128.0,0.0,1860.0,0.0,0.0,1820.0,0.0,0.0,0.0,minsum,0.9887642888372469,0.026266740939607014,0.6,7.625,0.0,,0.0,0.6625865705641144,dcop_minsum,dcop_minsum,msg_drop,0.5,5,0
dcop_minsum,24,40,ring_plus,36,4,-7.0,7.0,0.19444444444444445,7.0,0.0,0.4951388888888889,0.0,0.0,2880.0,1454.0,0.5048611111111111,0.4951388888888889,186112.0,128.0,0.0,1454.0,0.0,0.0,1426.0,0.0,0.0,0.0,minsum,0.9885840776238316,0.06999428569022992,0.625,6.5,-0.075,,0.0,0.37292756063084187,dcop_minsum,dcop_minsum,msg_drop,0.5,6,0
dcop_minsum,24,40,ring_plus,46,4,-4.0,4.0,0.08695652173913043,4.0,0.0,0.4910326086956522,0.0,0.0,3680.0,1873.0,0.5089673913043479,0.49103260869565213,239744.0,128.0,0.0,1873.0,0.0,0.0,1807.0,0.0,0.0,0.0,minsum,1.0,0.0,0.575,7.125,-0.25,,0.0,0.3541200301325499,dcop_minsum,dcop_minsum,msg_drop,0.5,7,0
dcop_minsum,24,40,ring_plus,41,4,-5.0,5.0,0.12195121951219512,5.0,0.0,0.5134146341463415,0.0,0.0,3280.0,1596.0,0.4865853658536585,0.5134146341463415,204288.0,128.0,0.0,1596.0,0.0,0.0,1684.0,0.0,0.0,0.0,minsum,0.9940895120940493,0.017362655806452132,0.575,6.125,0.025,,0.0,0.6798047431008131,dcop_minsum,dcop_minsum,msg_drop,0.5,8,0
dcop_minsum,24,40,ring_plus,50,4,-7.0,7.0,0.14,7.0,0.0,0.50625,0.0,0.0,4000.0,1975.0,0.49375,0.50625,252800.0,128.0,0.0,1975.0,0.0,0.0,2025.0,0.0,0.0,0.0,minsum,0.9594032815094848,0.27278613003504115,0.575,7.125,-0.1,,0.0,0.9519929129079138,dcop_minsum,dcop_minsum,msg_drop,0.5,9,0
dcop_minsum,24,40,ring_plus,36,4,-5.0,5.0,0.1388888888888889,5.0,0.0,0.6958333333333333,0.0,0.0,2880.0,876.0,0.30416666666666664,0.6958333333333333,112128.0,128.0,0.0,876.0,0.0,0.0,2004.0,0.0,0.0,0.0,minsum,0.5586095163475125,0.906421758259464,0.7,4.75,-0.2,,0.0,0.5162054954881106,dcop_minsum,dcop_minsum,msg_drop,0.7,0,0
dcop_minsum,24,40,ring_plus,51,4,-7.0,7.0,0.13725490196078433,7.0,0.0,0.7058823529411765,0.0,0.0,4080.0,1200.0,0.29411764705882354,0.7058823529411764,153600.0,128.0,0.0,1200.0,0.0,0.0,2880.0,0.0,0.0,0.0,minsum,0.992070040912687,0.018550938252460014,0.475,8.75,-0.05,,0.0,0.6661370859762062,dcop_minsum,dcop_minsum,msg_drop,0.7,1,0
dcop_minsum,24,40,ring_plus,46,4,-9.0,9.0,0.1956521739130435,9.0,0.0,0.7038043478260869,0.0,0.0,3680.0,1090.0,0.296195652173913,0.7038043478260869,139520.0,128.0,0.0,1090.0,0.0,0.0,2590.0,0.0,0.0,0.0,minsum,0.9929462616401967,0.1209413153820178,0.575,8.125,-0.075,,0.0,0.5767138582645176,dcop_minsum,dcop_minsum,msg_drop,0.7,2,0
dcop_minsum,24,40,ring_plus,41,4,-6.0,6.0,0.14634146341463414,6.0,0.0,0.7015243902439025,0.0,0.0,3280.0,979.0,0.29847560975609755,0.7015243902439025,125312.0,128.0,0.0,979.0,0.0,0.0,2301.0,0.0,0.0,0.0,minsum,0.9401391404613423,0.39904957604003943,0.6,6.125,-0.125,,0.0,0.7280978425891074,dcop_minsum,dcop_minsum,msg_drop,0.7,3,0
dcop_minsum,24,40,ring_plus,45,4,-14.0,14.0,0.3111111111111111,14.0,0.0,0.6963888888888888,0.0,0.0,3600.0,1093.0,0.3036111111111111,0.696388888888889,139904.0,128.0,0.0,1093.0,0.0,0.0,2507.0,0.0,0.0,0.0,minsum,0.8754420396613405,0.9270031187089368,0.675,10.125,0.0,,0.0,0.5276394113913421,dcop_minsum,dcop_minsum,msg_drop,0.7,4,0
dcop_minsum,24,40,ring_plus,46,4,-13.0,13.0,0.2826086956521739,13.0,0.0,0.7051630434782609,0.0,0.0,3680.0,1085.0,0.29483695652173914,0.7051630434782609,138880.0,128.0,0.0,1085.0,0.0,0.0,2595.0,0.0,0.0,0.0,minsum,0.9873729698178356,0.049247536524850255,0.575,9.25,0.1,,0.0,0.6625865705641144,dcop_minsum,dcop_minsum,msg_drop,0.7,5,0
dcop_minsum,24,40,ring_plus,36,4,-8.0,8.0,0.2222222222222222,8.0,0.0,0.6993055555555555,0.0,0.0,2880.0,866.0,0.30069444444444443,0.6993055555555556,110848.0,128.0,0.0,866.0,0.0,0.0,2014.0,0.0,0.0,0.0,minsum,0.9069008227119493,0.7233217743271511,0.65,7.5,-0.05,,0.0,0.37292756063084187,dcop_minsum,dcop_minsum,msg_drop,0.7,6,0
dcop_minsum,24,40,ring_plus,46,4,-4.0,4.0,0.08695652173913043,4.0,0.0,0.6918478260869565,0.0,0.0,3680.0,1134.0,0.3081521739130435,0.6918478260869565,145152.0,128.0,0.0,1134.0,0.0,0.0,2546.0,0.0,0.0,0.0,minsum,0.7422255153634582,0.8626818932889968,0.6,6.625,-0.25,,0.0,0.3541200301325499,dcop_minsum,dcop_minsum,msg_drop,0.7,7,0
dcop_minsum,24,40,ring_plus,41,4,-6.0,6.0,0.14634146341463414,6.0,0.0,0.7039634146341464,0.0,0.0,3280.0,971.0,0.29603658536585364,0.7039634146341464,124288.0,128.0,0.0,971.0,0.0,0.0,2309.0,0.0,0.0,0.0,minsum,1.0,0.0,0.525,7.625,0.05,,0.0,0.6798047431008131,dcop_minsum,dcop_minsum,msg_drop,0.7,8,0
dcop_minsum,24,40,ring_plus,50,4,-6.0,6.0,0.12,6.0,0.0,0.70675,0.0,0.0,4000.0,1173.0,0.29325,0.70675,150144.0,128.0,0.0,1173.0,0.0,0.0,2827.0,0.0,0.0,0.0,minsum,0.9753888442871157,0.2737846727011174,0.625,8.125,-0.125,,0.0,0.9519929129079138,dcop_minsum,dcop_minsum,msg_drop,0.7,9,0
dcop_minsum,24,40,ring_plus,36,4,-13.0,13.0,0.3611111111111111,13.0,0.0,1.0,0.0,0.0,2880.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,13.0,0.0,,0.0,0.5162054954881106,dcop_minsum,dcop_minsum,msg_drop,1.0,0,0
dcop_minsum,24,40,ring_plus,51,4,-9.0,9.0,0.17647058823529413,9.0,0.0,1.0,0.0,0.0,4080.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,9.0,0.0,,0.0,0.6661370859762062,dcop_minsum,dcop_minsum,msg_drop,1.0,1,0
dcop_minsum,24,40,ring_plus,46,4,-12.0,12.0,0.2608695652173913,12.0,0.0,1.0,0.0,0.0,3680.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,12.0,0.0,,0.0,0.5767138582645176,dcop_minsum,dcop_minsum,msg_drop,1.0,2,0
dcop_minsum,24,40,ring_plus,41,4,-11.0,11.0,0.2682926829268293,11.0,0.0,1.0,0.0,0.0,3280.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,11.0,0.0,,0.0,0.7280978425891074,dcop_minsum,dcop_minsum,msg_drop,1.0,3,0
dcop_minsum,24,40,ring_plus,45,4,-14.0,14.0,0.3111111111111111,14.0,0.0,1.0,0.0,0.0,3600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,14.0,0.0,,0.0,0.5276394113913421,dcop_minsum,dcop_minsum,msg_drop,1.0,4,0
dcop_minsum,24,40,ring_plus,46,4,-9.0,9.0,0.1956521739130435,9.0,0.0,1.0,0.0,0.0,3680.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,9.0,0.0,,0.0,0.6625865705641144,dcop_minsum,dcop_minsum,msg_drop,1.0,5,0
dcop_minsum,24,40,ring_plus,36,4,-10.0,10.0,0.2777777777777778,10.0,0.0,1.0,0.0,0.0,2880.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,10.0,0.0,,0.0,0.37292756063084187,dcop_minsum,dcop_minsum,msg_drop,1.0,6,0
dcop_minsum,24,40,ring_plus,46,4,-14.0,14.0,0.30434782608695654,14.0,0.0,1.0,0.0,0.0,3680.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,14.0,0.0,,0.0,0.3541200301325499,dcop_minsum,dcop_minsum,msg_drop,1.0,7,0
dcop_minsum,24,40,ring_plus,41,4,-4.0,4.0,0.0975609756097561,4.0,0.0,1.0,0.0,0.0,3280.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,4.0,0.0,,0.0,0.6798047431008131,dcop_minsum,dcop_minsum,msg_drop,1.0,8,0
dcop_minsum,24,40,ring_plus,50,4,-11.0,11.0,0.22,11.0,0.0,1.0,0.0,0.0,4000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,minsum,1.0,0.0,1.0,11.0,0.0,,0.0,0.9519929129079138,dcop_minsum,dcop_minsum,msg_drop,1.0,9,0
dcop_minsum,24,40,ring_plus,36,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2880.0,1.0,0.0,368640.0,128.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,2.7735009811261474e-07,0.7963016814719625,1.0,0.0,-0.325,2.0,1.0,0.5162054954881106,dcop_minsum,dcop_minsum,latency,0.0,0,0
dcop_minsum,24,40,ring_plus,51,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.0,4080.0,1.0,0.0,522240.0,128.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.012690146647762898,0.48613104022524123,0.975,0.0,-0.225,5.0,1.0,0.6661370859762062,dcop_minsum,dcop_minsum,latency,0.0,1,0
dcop_minsum,24,40,ring_plus,46,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0,1.0,0.0,471040.0,128.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.17379987613064898,0.3440488199075741,0.975,0.0,-0.3,9.0,1.0,0.5767138582645176,dcop_minsum,dcop_minsum,latency,0.0,2,0
