return,steps,comm_mse,comm_zero_frac,comm_age_mean,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,benchmark,algo,n_agents,task,task_name,family,value,seed,episode
-2823.8439903259277,24.0,0.0,0.615,1.0,48.0,22.0,0.4583333333333333,0.5416666666666667,5632.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,0,0
-2823.8439903259277,24.0,0.0,0.51,1.0,48.0,28.0,0.5833333333333334,0.41666666666666663,7168.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,1,0
-2823.8439903259277,24.0,0.0,0.58,1.0,48.0,24.0,0.5,0.5,6144.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,2,0
-2823.8439903259277,24.0,0.0,0.545,1.0,48.0,26.0,0.5416666666666666,0.45833333333333337,6656.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,3,0
-2823.8439903259277,24.0,0.0,0.44,1.0,48.0,32.0,0.6666666666666666,0.33333333333333337,8192.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,4,0
-2823.8439903259277,24.0,0.0,0.685,1.0,48.0,18.0,0.375,0.625,4608.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,5,0
-2823.8439903259277,24.0,0.0,0.615,1.0,48.0,22.0,0.4583333333333333,0.5416666666666667,5632.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,6,0
-2823.8439903259277,24.0,0.0,0.4925,1.0,48.0,29.0,0.6041666666666666,0.39583333333333337,7424.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,7,0
-2823.8439903259277,24.0,0.0,0.615,1.0,48.0,22.0,0.4583333333333333,0.5416666666666667,5632.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,8,0
-2823.8439903259277,24.0,0.0,0.615,1.0,48.0,22.0,0.4583333333333333,0.5416666666666667,5632.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.5,9,0
-2823.8439903259277,24.0,0.0,0.7725,1.0,48.0,13.0,0.2708333333333333,0.7291666666666667,3328.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.7,0,0
-2823.8439903259277,24.0,0.0,0.6675,1.0,48.0,19.0,0.3958333333333333,0.6041666666666667,4864.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.7,1,0
-2823.8439903259277,24.0,0.0,0.7725,1.0,48.0,13.0,0.2708333333333333,0.7291666666666667,3328.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.7,2,0
