benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
consensus,20,60,ring_plus,-1.5570922460595768e-05,1.5570922460595768e-05,0.0,0.1037037037037037,0.0,0.0,5400.0,4840.0,0.8962962962962963,0.10370370370370374,154880.0,32.0,0.0,4840.0,0.0,0.0,560.0,0.0,0.0,0.0,trimmed,0.8062928940749218,0.995369113898877,1.0,5.5346931221254704e-05,-0.28470295618881897,15.0,1.0,1.320493917398932,1.2572950674741608,consensus_trimmed,consensus_trimmed,msg_drop,0.1,1,0
consensus,20,60,ring_plus,-1.1967843357904929e-08,1.1967843357904929e-08,0.0,0.10326797385620914,0.0,0.0,6120.0,5488.0,0.8967320261437909,0.10326797385620912,175616.0,32.0,0.0,5488.0,0.0,0.0,632.0,0.0,0.0,0.0,trimmed,0.7157451600855215,0.999068751101247,1.0,1.4998626923381789e-07,-0.3046854192832154,10.0,1.0,1.55469612182113,1.5299830364930147,consensus_trimmed,consensus_trimmed,msg_drop,0.1,2,0
consensus,20,60,ring_plus,-1.9508564460437647e-07,1.9508564460437647e-07,0.0,0.09345238095238095,0.0,0.0,5040.0,4569.0,0.906547619047619,0.09345238095238095,146208.0,32.0,0.0,4569.0,0.0,0.0,471.0,0.0,0.0,0.0,trimmed,0.7387367751158855,0.9984802958167797,1.0,1.3887690241558734e-06,-0.43744331142947296,13.0,1.0,1.2627284000071304,1.2353733719202542,consensus_trimmed,consensus_trimmed,msg_drop,0.1,3,0
consensus,20,60,ring_plus,-2.2575446879819568e-07,2.2575446879819568e-07,0.0,0.1026595744680851,0.0,0.0,5640.0,5061.0,0.8973404255319148,0.10265957446808516,161952.0,32.0,0.0,5061.0,0.0,0.0,579.0,0.0,0.0,0.0,trimmed,0.7578588051344849,0.9751907022030013,1.0,7.439319581958126e-07,-0.257098603546918,8.0,1.0,1.3711704029417888,1.3207138697044611,consensus_trimmed,consensus_trimmed,msg_drop,0.1,4,0
consensus,20,60,ring_plus,-1.5896876078528695e-07,1.5896876078528695e-07,0.0,0.09827044025157233,0.0,0.0,6360.0,5735.0,0.9017295597484277,0.09827044025157228,183520.0,32.0,0.0,5735.0,0.0,0.0,625.0,0.0,0.0,0.0,trimmed,0.7509935455178505,0.9950922894455133,1.0,1.2333020145045479e-06,-0.25459691159503345,11.0,1.0,1.6160985120576443,1.583621832579197,consensus_trimmed,consensus_trimmed,msg_drop,0.1,5,0
consensus,20,60,ring_plus,-3.8159145356630464e-06,3.8159145356630464e-06,0.0,0.09658119658119659,0.0,0.0,4680.0,4228.0,0.9034188034188034,0.09658119658119657,135296.0,32.0,0.0,4228.0,0.0,0.0,452.0,0.0,0.0,0.0,trimmed,0.7941297790468044,0.9811237965788695,1.0,1.3209396190945328e-05,-0.35008549887575263,9.0,1.0,0.9450014459069909,0.8957994866615863,consensus_trimmed,consensus_trimmed,msg_drop,0.1,6,0
consensus,20,60,ring_plus,-2.4264224711975317e-10,2.4264224711975317e-10,0.0,0.10030864197530864,0.0,0.0,6480.0,5830.0,0.8996913580246914,0.10030864197530864,186560.0,32.0,0.0,5830.0,0.0,0.0,650.0,0.0,0.0,0.0,trimmed,0.6544392768296441,0.9825131794705381,1.0,1.3033000304981498e-09,-0.3212184241847955,9.0,1.0,2.218617553571293,2.1395397467772024,consensus_trimmed,consensus_trimmed,msg_drop,0.1,7,0
consensus,20,60,ring_plus,-0.00017663600694569224,0.00017663600694569224,0.0,0.10809523809523809,0.0,0.0,4200.0,3746.0,0.8919047619047619,0.10809523809523813,119872.0,32.0,0.0,3746.0,0.0,0.0,454.0,0.0,0.0,0.0,trimmed,0.8539167449367467,0.9793257605189869,1.0,0.00043509511178873927,-0.22535775392751223,14.0,1.0,0.7964836768628718,0.7332449500908755,consensus_trimmed,consensus_trimmed,msg_drop,0.1,8,0
consensus,20,60,ring_plus,-0.0004507201344437643,0.0004507201344437643,0.0,0.10340909090909091,0.0,0.0,5280.0,4734.0,0.8965909090909091,0.1034090909090909,151488.0,32.0,0.0,4734.0,0.0,0.0,546.0,0.0,0.0,0.0,trimmed,0.8705240362666186,0.9583060933742278,1.0,0.0009524612970109292,-0.2458929401641794,13.0,1.0,0.9413291035084279,0.9246306127261071,consensus_trimmed,consensus_trimmed,msg_drop,0.1,9,0
consensus,20,60,ring_plus,-3.298968788645065e-07,3.298968788645065e-07,0.0,0.29543650793650794,0.0,0.0,5040.0,3551.0,0.7045634920634921,0.2954365079365079,113632.0,32.0,0.0,3551.0,0.0,0.0,1489.0,0.0,0.0,0.0,trimmed,0.763803526313445,0.9939936919578902,1.0,1.6136662901855364e-06,-0.18178671566654317,10.0,1.0,1.399646125476325,0.9593085927552825,consensus_trimmed,consensus_trimmed,msg_drop,0.3,0,0
consensus,20,60,ring_plus,-5.703627375167612e-07,5.703627375167612e-07,0.0,0.3042592592592593,0.0,0.0,5400.0,3757.0,0.6957407407407408,0.30425925925925923,120224.0,32.0,0.0,3757.0,0.0,0.0,1643.0,0.0,0.0,0.0,trimmed,0.7612465864724768,0.9936262388396961,1.0,2.7829499505310793e-06,-0.28470320619814765,12.0,1.0,1.320493917398932,0.8757031879896017,consensus_trimmed,consensus_trimmed,msg_drop,0.3,1,0
