benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
formation,12,80,ring_plus,-3.883933380997919e-06,3.883933380997919e-06,0.0,0.101875,0.0,0.0,3200.0,2874.0,0.898125,0.10187500000000005,183936.0,64.0,0.0,2874.0,0.0,0.0,326.0,0.0,0.0,0.0,median,0.8317456886235529,0.9905787251061151,1.0,2.037908173331136e-05,-1.2587880311252322,10.0,1.0,0.7804913528911942,0.7614423521597095,formation_median,formation_median,msg_drop,0.1,2,0
formation,12,80,ring_plus,-1.2352234002508933e-07,1.2352234002508933e-07,0.0,0.09456521739130434,0.0,0.0,3680.0,3332.0,0.9054347826086957,0.0945652173913043,213248.0,64.0,0.0,3332.0,0.0,0.0,348.0,0.0,0.0,0.0,median,0.8003403776464088,0.9928804630168553,1.0,1.6671449027875589e-06,-1.6441112742345134,7.0,1.0,0.9453557583526553,0.9305213564977166,formation_median,formation_median,msg_drop,0.1,3,0
formation,12,80,ring_plus,-0.02128594276007966,0.02128594276007966,0.0,0.1021875,0.0,0.0,3200.0,2873.0,0.8978125,0.10218749999999999,183872.0,64.0,0.0,2873.0,0.0,0.0,327.0,0.0,0.0,0.0,median,0.9315117802337345,0.9385508034861698,0.7,0.03131770026284847,-0.8570904941614843,21.0,1.0,0.5753969263128755,0.5597469727491294,formation_median,formation_median,msg_drop,0.1,4,0
formation,12,80,ring_plus,-3.710630759252874e-05,3.710630759252874e-05,0.0,0.096875,0.0,0.0,3200.0,2890.0,0.903125,0.09687500000000004,184960.0,64.0,0.0,2890.0,0.0,0.0,310.0,0.0,0.0,0.0,median,0.8601356582683763,0.9672100441337244,1.0,9.409359870248351e-05,-0.4394441872977075,14.0,1.0,0.5614766815680613,0.5489615060789856,formation_median,formation_median,msg_drop,0.1,5,0
formation,12,80,ring_plus,-0.03370925212709668,0.03370925212709668,0.0,0.09638157894736842,0.0,0.0,3040.0,2747.0,0.9036184210526316,0.09638157894736843,175808.0,64.0,0.0,2747.0,0.0,0.0,293.0,0.0,0.0,0.0,median,0.9453399975901368,0.8623091637580416,0.6625,0.06618800297021356,-0.9139401725818459,22.0,1.0,0.582300940737028,0.5663671045533135,formation_median,formation_median,msg_drop,0.1,6,0
formation,12,80,ring_plus,-1.939213739315832e-17,1.939213739315832e-17,0.0,0.10277777777777777,0.0,0.0,4320.0,3876.0,0.8972222222222223,0.10277777777777775,248064.0,64.0,0.0,3876.0,0.0,0.0,444.0,0.0,0.0,0.0,median,0.5616959617332038,0.9969548669643568,1.0,1.5436785677332616e-15,-0.7341167357490652,6.0,1.0,1.492696948605229,1.4439834066367194,formation_median,formation_median,msg_drop,0.1,7,0
formation,12,80,ring_plus,-0.0007996777913811567,0.0007996777913811567,0.0,0.10493421052631578,0.0,0.0,3040.0,2721.0,0.8950657894736842,0.1049342105263158,174144.0,64.0,0.0,2721.0,0.0,0.0,319.0,0.0,0.0,0.0,median,0.8985253502799627,0.9609715089113913,0.925,0.0016655654508210475,-0.7234575625773155,12.0,1.0,0.7074975877589688,0.6862735131844284,formation_median,formation_median,msg_drop,0.1,8,0
formation,12,80,ring_plus,-0.000505051401318062,0.000505051401318062,0.0,0.1071875,0.0,0.0,3200.0,2857.0,0.8928125,0.10718749999999999,182848.0,64.0,0.0,2857.0,0.0,0.0,343.0,0.0,0.0,0.0,median,0.8913566246410078,0.9498510583160681,0.9125,0.0010637607790005969,-0.9815750433729061,8.0,1.0,0.7373428196879402,0.7141836764502487,formation_median,formation_median,msg_drop,0.1,9,0
formation,12,80,ring_plus,-7.930912038168907e-08,7.930912038168907e-08,0.0,0.29078947368421054,0.0,0.0,3040.0,2156.0,0.7092105263157895,0.2907894736842105,137984.0,64.0,0.0,2156.0,0.0,0.0,884.0,0.0,0.0,0.0,median,0.7889358520850844,0.9801153786429675,1.0,4.459285250954101e-07,-1.0146390426769394,10.0,1.0,0.8374775018117306,0.6087127127185317,formation_median,formation_median,msg_drop,0.3,0,0
formation,12,80,ring_plus,-2.6782211842925237e-09,2.6782211842925237e-09,0.0,0.29836956521739133,0.0,0.0,3680.0,2582.0,0.7016304347826087,0.29836956521739133,165248.0,64.0,0.0,2582.0,0.0,0.0,1098.0,0.0,0.0,0.0,median,0.7552374878422373,0.9968237332667528,0.9875,1.1831177433298698e-07,-1.1482056162996095,12.0,1.0,1.2149803804563146,0.9295216241861028,formation_median,formation_median,msg_drop,0.3,1,0
formation,12,80,ring_plus,-2.7511451927692574e-07,2.7511451927692574e-07,0.0,0.313125,0.0,0.0,3200.0,2198.0,0.686875,0.313125,140672.0,64.0,0.0,2198.0,0.0,0.0,1002.0,0.0,0.0,0.0,median,0.8031813770518492,0.9945438186970778,0.9625,3.0150476439462697e-06,-1.2587880762354677,11.0,1.0,0.7804913528911942,0.5772121987748168,formation_median,formation_median,msg_drop,0.3,2,0
formation,12,80,ring_plus,-2.716894950286672e-07,2.716894950286672e-07,0.0,0.2872282608695652,0.0,0.0,3680.0,2623.0,0.7127717391304348,0.2872282608695652,167872.0,64.0,0.0,2623.0,0.0,0.0,1057.0,0.0,0.0,0.0,median,0.8074788187002402,0.9857497218414052,0.95,1.954034890397126e-06,-1.6441112723824234,7.0,1.0,0.9453557583526553,0.750087337214149,formation_median,formation_median,msg_drop,0.3,3,0
formation,12,80,ring_plus,-0.0016826121224391732,0.0016826121224391732,0.0,0.2975,0.0,0.0,3200.0,2248.0,0.7025,0.2975,143872.0,64.0,0.0,2248.0,0.0,0.0,952.0,0.0,0.0,0.0,median,0.9026761289180784,0.9687089395445512,0.8125,0.0036599627297941415,-0.857335535794455,18.0,1.0,0.5753969263128755,0.4550232559124569,formation_median,formation_median,msg_drop,0.3,4,0
formation,12,80,ring_plus,-6.532087224669405e-07,6.532087224669405e-07,0.0,0.2946875,0.0,0.0,3200.0,2257.0,0.7053125,0.2946875,144448.0,64.0,0.0,2257.0,0.0,0.0,943.0,0.0,0.0,0.0,median,0.8122773149468497,0.9964344102888814,0.925,5.187955719908978e-06,-0.4394446429614433,15.0,1.0,0.5614766815680613,0.3952318265233877,formation_median,formation_median,msg_drop,0.3,5,0
formation,12,80,ring_plus,-0.0005483344009494782,0.0005483344009494782,0.0,0.29638157894736844,0.0,0.0,3040.0,2139.0,0.7036184210526316,0.2963815789473684,136896.0,64.0,0.0,2139.0,0.0,0.0,901.0,0.0,0.0,0.0,median,0.8849858827216308,0.9767140257173418,0.875,0.0014791863678269945,-0.9143546840534228,15.0,1.0,0.582300940737028,0.42537718014940423,formation_median,formation_median,msg_drop,0.3,6,0
formation,12,80,ring_plus,-1.3162140925852875e-15,1.3162140925852875e-15,0.0,0.2988425925925926,0.0,0.0,4320.0,3029.0,0.7011574074074074,0.2988425925925926,193856.0,64.0,0.0,3029.0,0.0,0.0,1291.0,0.0,0.0,0.0,median,0.6198033303645795,0.9982279925990027,0.9875,1.6684261349878453e-13,-0.7341167357490654,7.0,1.0,1.492696948605229,1.1926975654809646,formation_median,formation_median,msg_drop,0.3,7,0
formation,12,80,ring_plus,-6.189502250886008e-06,6.189502250886008e-06,0.0,0.31546052631578947,0.0,0.0,3040.0,2081.0,0.6845394736842105,0.31546052631578947,133184.0,64.0,0.0,2081.0,0.0,0.0,959.0,0.0,0.0,0.0,median,0.840312276130479,0.9836042986336667,0.975,2.2553230369114442e-05,-0.7234674811809296,10.0,1.0,0.7074975877589688,0.46706298413624425,formation_median,formation_median,msg_drop,0.3,8,0
formation,12,80,ring_plus,-8.507876543806904e-06,8.507876543806904e-06,0.0,0.304375,0.0,0.0,3200.0,2226.0,0.695625,0.30437499999999995,142464.0,64.0,0.0,2226.0,0.0,0.0,974.0,0.0,0.0,0.0,median,0.8490187137997737,0.9693670498005168,0.9375,3.0127253693491095e-05,-0.9815812501669658,8.0,1.0,0.7373428196879402,0.5491088189720597,formation_median,formation_median,msg_drop,0.3,9,0
formation,12,80,ring_plus,-1.653055891902654e-07,1.653055891902654e-07,0.0,0.4921052631578947,0.0,0.0,3040.0,1544.0,0.5078947368421053,0.4921052631578947,98816.0,64.0,0.0,1544.0,0.0,0.0,1496.0,0.0,0.0,0.0,median,0.7945207603903388,0.9830656988878619,0.975,9.031900264580438e-07,-1.0146390416019835,10.0,1.0,0.8374775018117306,0.2867190326228385,formation_median,formation_median,msg_drop,0.5,0,0
formation,12,80,ring_plus,-3.770207549180227e-09,3.770207549180227e-09,0.0,0.5065217391304347,0.0,0.0,3680.0,1816.0,0.4934782608695652,0.5065217391304349,116224.0,64.0,0.0,1816.0,0.0,0.0,1864.0,0.0,0.0,0.0,median,0.7599863715932482,0.996351349606974,0.9875,1.2550749556902584e-07,-1.1482056162859597,12.0,1.0,1.2149803804563146,0.43913369357729903,formation_median,formation_median,msg_drop,0.5,1,0
formation,12,80,ring_plus,-5.94919995476501e-06,5.94919995476501e-06,0.0,0.5065625,0.0,0.0,3200.0,1579.0,0.4934375,0.5065625,101056.0,64.0,0.0,1579.0,0.0,0.0,1621.0,0.0,0.0,0.0,median,0.824999867624305,0.9940061855774627,0.9,1.978948620405191e-05,-1.2587880053093998,15.0,1.0,0.7804913528911942,0.2461983382512974,formation_median,formation_median,msg_drop,0.5,2,0
formation,12,80,ring_plus,-3.411784365272881e-07,3.411784365272881e-07,0.0,0.49130434782608695,0.0,0.0,3680.0,1872.0,0.508695652173913,0.491304347826087,119808.0,64.0,0.0,1872.0,0.0,0.0,1808.0,0.0,0.0,0.0,median,0.7976064696087372,0.9859981719015185,0.925,1.6493717023216598e-06,-1.6441112715138122,9.0,1.0,0.9453557583526553,0.3913436615281429,formation_median,formation_median,msg_drop,0.5,3,0
formation,12,80,ring_plus,-0.0001233727744765834,0.0001233727744765834,0.0,0.490625,0.0,0.0,3200.0,1630.0,0.509375,0.490625,104320.0,64.0,0.0,1630.0,0.0,0.0,1570.0,0.0,0.0,0.0,median,0.8804105815604193,0.9671092646197951,0.8375,0.00044785272990502736,-0.8573550262863046,10.0,1.0,0.5753969263128755,0.25346203142493906,formation_median,formation_median,msg_drop,0.5,4,0
formation,12,80,ring_plus,-3.097004795131605e-05,3.097004795131605e-05,0.0,0.4903125,0.0,0.0,3200.0,1631.0,0.5096875,0.49031250000000004,104384.0,64.0,0.0,1631.0,0.0,0.0,1569.0,0.0,0.0,0.0,median,0.8556622362380298,0.9905210933936732,0.875,9.974802318893066e-05,-0.43944426400095293,16.0,1.0,0.5614766815680613,0.20233152390154246,formation_median,formation_median,msg_drop,0.5,5,0
formation,12,80,ring_plus,-0.0003396666906445054,0.0003396666906445054,0.0,0.4944078947368421,0.0,0.0,3040.0,1537.0,0.5055921052631579,0.4944078947368421,98368.0,64.0,0.0,1537.0,0.0,0.0,1503.0,0.0,0.0,0.0,median,0.8768232416694629,0.985027997815165,0.8125,0.0012416746019312313,-0.9143572923998015,18.0,1.0,0.582300940737028,0.19630944368850337,formation_median,formation_median,msg_drop,0.5,6,0
formation,12,80,ring_plus,-1.6028262068616985e-13,1.6028262068616985e-13,0.0,0.49236111111111114,0.0,0.0,4320.0,2193.0,0.5076388888888889,0.49236111111111114,140352.0,64.0,0.0,2193.0,0.0,0.0,2127.0,0.0,0.0,0.0,median,0.6667026027244733,0.997073222482472,0.975,6.274712374634513e-12,-0.7341167357490634,8.0,1.0,1.492696948605229,0.7455860736029559,formation_median,formation_median,msg_drop,0.5,7,0
formation,12,80,ring_plus,-6.444310638752002e-06,6.444310638752002e-06,0.0,0.5144736842105263,0.0,0.0,3040.0,1476.0,0.4855263157894737,0.5144736842105263,94464.0,64.0,0.0,1476.0,0.0,0.0,1564.0,0.0,0.0,0.0,median,0.845340992182292,0.9783094571630876,0.9,2.9947980624178166e-05,-0.723467477995825,11.0,1.0,0.7074975877589688,0.18274366448865598,formation_median,formation_median,msg_drop,0.5,8,0
formation,12,80,ring_plus,-3.3157994793375494e-06,3.3157994793375494e-06,0.0,0.51125,0.0,0.0,3200.0,1564.0,0.48875,0.51125,100096.0,64.0,0.0,1564.0,0.0,0.0,1636.0,0.0,0.0,0.0,median,0.8381121356554596,0.9723125570005787,0.9125,1.4035742117428311e-05,-0.9815813150679293,8.0,1.0,0.7373428196879402,0.2547093206745433,formation_median,formation_median,msg_drop,0.5,9,0
formation,12,80,ring_plus,-1.917079745863743e-06,1.917079745863743e-06,0.0,0.6993421052631579,0.0,0.0,3040.0,914.0,0.3006578947368421,0.6993421052631579,58496.0,64.0,0.0,914.0,0.0,0.0,2126.0,0.0,0.0,0.0,median,0.8108721275179326,0.9956462185638008,0.925,9.906406893193245e-06,-1.0146390197048063,18.0,1.0,0.8374775018117306,0.022939309822797682,formation_median,formation_median,msg_drop,0.7,0,0
formation,12,80,ring_plus,-5.11219141101718e-07,5.11219141101718e-07,0.0,0.7057065217391304,0.0,0.0,3680.0,1083.0,0.29429347826086955,0.7057065217391305,69312.0,64.0,0.0,1083.0,0.0,0.0,2597.0,0.0,0.0,0.0,median,0.8087408880134856,0.9919045253758692,0.9,6.771377779962119e-06,-1.1482056099428481,13.0,1.0,1.2149803804563146,0.06686173348189084,formation_median,formation_median,msg_drop,0.7,1,0
formation,12,80,ring_plus,-4.5766912892084106e-06,4.5766912892084106e-06,0.0,0.7046875,0.0,0.0,3200.0,945.0,0.2953125,0.7046875,60480.0,64.0,0.0,945.0,0.0,0.0,2255.0,0.0,0.0,0.0,median,0.8148537344130664,0.989879105226411,0.8625,1.9143321612783307e-05,-1.2587880224657582,17.0,1.0,0.7804913528911942,0.015719411514766503,formation_median,formation_median,msg_drop,0.7,2,0
