benchmark,n_agents,steps,topology,n_edges,k_colors,return,final_conflicts,final_conflict_frac,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,task,task_name,family,value,seed,episode
dcop_dsa,24,40,ring_plus,46,4,-0.0,0.0,0.0,0.0,0.0,0.7760190217391304,0.0,0.0,3680.0,3297.0,0.8959239130434783,0.10407608695652171,422016.0,128.0,0.0,3297.0,0.0,0.0,383.0,0.0,0.0,0.0,dsa,0.7025500455115667,0.17995631277791213,0.725,4.0,-0.3,23.0,1.0,0.5767138582645176,dcop_dsa,dcop_dsa,msg_drop,0.1,2,0
dcop_dsa,24,40,ring_plus,41,4,-1.0,1.0,0.024390243902439025,1.0,0.0,0.7730182926829269,0.0,0.0,3280.0,2978.0,0.9079268292682927,0.09207317073170729,381184.0,128.0,0.0,2978.0,0.0,0.0,302.0,0.0,0.0,0.0,dsa,0.07184840424173218,0.4114857808621325,0.7,1.0,-0.25,7.0,1.0,0.7280978425891074,dcop_dsa,dcop_dsa,msg_drop,0.1,3,0
dcop_dsa,24,40,ring_plus,45,4,-0.0,0.0,0.0,0.0,0.0,0.7754166666666666,0.0,0.0,3600.0,3234.0,0.8983333333333333,0.10166666666666668,413952.0,128.0,0.0,3234.0,0.0,0.0,366.0,0.0,0.0,0.0,dsa,0.06736117627577817,0.40816019312646057,0.825,0.5,-0.35,7.0,1.0,0.5276394113913421,dcop_dsa,dcop_dsa,msg_drop,0.1,4,0
dcop_dsa,24,40,ring_plus,46,4,-1.0,1.0,0.021739130434782608,1.0,0.0,0.7745244565217392,0.0,0.0,3680.0,3319.0,0.9019021739130435,0.0980978260869565,424832.0,128.0,0.0,3319.0,0.0,0.0,361.0,0.0,0.0,0.0,dsa,0.24045463975555442,0.2941550594240514,0.575,0.375,-0.2,10.0,1.0,0.6625865705641144,dcop_dsa,dcop_dsa,msg_drop,0.1,5,0
dcop_dsa,24,40,ring_plus,36,4,-1.0,1.0,0.027777777777777776,1.0,0.0,0.7739583333333333,0.0,0.0,2880.0,2604.0,0.9041666666666667,0.09583333333333333,333312.0,128.0,0.0,2604.0,0.0,0.0,276.0,0.0,0.0,0.0,dsa,0.42370423863653345,0.26295895927969104,0.775,0.5,-0.225,14.0,1.0,0.37292756063084187,dcop_dsa,dcop_dsa,msg_drop,0.1,6,0
dcop_dsa,24,40,ring_plus,46,4,-2.0,2.0,0.043478260869565216,2.0,0.0,0.7755434782608696,0.0,0.0,3680.0,3304.0,0.8978260869565218,0.10217391304347823,422912.0,128.0,0.0,3304.0,0.0,0.0,376.0,0.0,0.0,0.0,dsa,0.7694589871389388,0.15530458904775524,0.675,0.75,-0.3,27.0,1.0,0.3541200301325499,dcop_dsa,dcop_dsa,msg_drop,0.1,7,0
dcop_dsa,24,40,ring_plus,41,4,-0.0,0.0,0.0,0.0,0.0,0.7763719512195122,0.0,0.0,3280.0,2934.0,0.8945121951219512,0.10548780487804876,375552.0,128.0,0.0,2934.0,0.0,0.0,346.0,0.0,0.0,0.0,dsa,0.12380595462531649,0.3530311043329609,0.7,0.5,-0.1,8.0,1.0,0.6798047431008131,dcop_dsa,dcop_dsa,msg_drop,0.1,8,0
dcop_dsa,24,40,ring_plus,50,4,-2.0,2.0,0.04,2.0,0.0,0.7754375,0.0,0.0,4000.0,3593.0,0.89825,0.10175000000000001,459904.0,128.0,0.0,3593.0,0.0,0.0,407.0,0.0,0.0,0.0,dsa,0.8392760328665955,0.13530601027511002,0.675,1.125,-0.225,34.0,1.0,0.9519929129079138,dcop_dsa,dcop_dsa,msg_drop,0.1,9,0
dcop_dsa,24,40,ring_plus,36,4,-2.0,2.0,0.05555555555555555,2.0,0.0,0.8231770833333333,0.0,0.0,2880.0,2037.0,0.7072916666666667,0.29270833333333335,260736.0,128.0,0.0,2037.0,0.0,0.0,843.0,0.0,0.0,0.0,dsa,0.27757020211838584,0.29971038963228736,0.675,1.25,-0.275,11.0,1.0,0.5162054954881106,dcop_dsa,dcop_dsa,msg_drop,0.3,0,0
dcop_dsa,24,40,ring_plus,51,4,-3.0,3.0,0.058823529411764705,3.0,0.0,0.8251225490196078,0.0,0.0,4080.0,2854.0,0.6995098039215686,0.3004901960784314,365312.0,128.0,0.0,2854.0,0.0,0.0,1226.0,0.0,0.0,0.0,dsa,0.5433067505208757,0.18664424402331126,0.625,6.375,-0.15,16.0,1.0,0.6661370859762062,dcop_dsa,dcop_dsa,msg_drop,0.3,1,0
dcop_dsa,24,40,ring_plus,46,4,-3.0,3.0,0.06521739130434782,3.0,0.0,0.827241847826087,0.0,0.0,3680.0,2543.0,0.6910326086956522,0.3089673913043478,325504.0,128.0,0.0,2543.0,0.0,0.0,1137.0,0.0,0.0,0.0,dsa,0.9774614429413089,0.21696428189852712,0.65,3.25,-0.225,,0.0,0.5767138582645176,dcop_dsa,dcop_dsa,msg_drop,0.3,2,0
dcop_dsa,24,40,ring_plus,41,4,-3.0,3.0,0.07317073170731707,3.0,0.0,0.8214939024390244,0.0,0.0,3280.0,2342.0,0.7140243902439024,0.2859756097560976,299776.0,128.0,0.0,2342.0,0.0,0.0,938.0,0.0,0.0,0.0,dsa,0.6371113421025045,0.9144333111692782,0.6,5.0,-0.2,,0.0,0.7280978425891074,dcop_dsa,dcop_dsa,msg_drop,0.3,3,0
dcop_dsa,24,40,ring_plus,45,4,-4.0,4.0,0.08888888888888889,4.0,0.0,0.825,0.0,0.0,3600.0,2520.0,0.7,0.30000000000000004,322560.0,128.0,0.0,2520.0,0.0,0.0,1080.0,0.0,0.0,0.0,dsa,0.975261441262878,0.21260336157686954,0.65,8.5,-0.25,,0.0,0.5276394113913421,dcop_dsa,dcop_dsa,msg_drop,0.3,4,0
dcop_dsa,24,40,ring_plus,46,4,-9.0,9.0,0.1956521739130435,9.0,0.0,0.8245923913043478,0.0,0.0,3680.0,2582.0,0.7016304347826087,0.29836956521739133,330496.0,128.0,0.0,2582.0,0.0,0.0,1098.0,0.0,0.0,0.0,dsa,0.8150327522565827,0.5479276864107199,0.6,6.625,0.0,,0.0,0.6625865705641144,dcop_dsa,dcop_dsa,msg_drop,0.3,5,0
dcop_dsa,24,40,ring_plus,36,4,-2.0,2.0,0.05555555555555555,2.0,0.0,0.8243923611111111,0.0,0.0,2880.0,2023.0,0.7024305555555556,0.29756944444444444,258944.0,128.0,0.0,2023.0,0.0,0.0,857.0,0.0,0.0,0.0,dsa,0.2903041893316513,0.28168983190173513,0.7,1.75,-0.2,11.0,1.0,0.37292756063084187,dcop_dsa,dcop_dsa,msg_drop,0.3,6,0
dcop_dsa,24,40,ring_plus,46,4,-7.0,7.0,0.15217391304347827,7.0,0.0,0.8240489130434783,0.0,0.0,3680.0,2590.0,0.7038043478260869,0.2961956521739131,331520.0,128.0,0.0,2590.0,0.0,0.0,1090.0,0.0,0.0,0.0,dsa,0.8995984209375933,0.7835559377033824,0.625,6.5,-0.175,,0.0,0.3541200301325499,dcop_dsa,dcop_dsa,msg_drop,0.3,7,0
